WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC,class
30.0,2.0,0.0,4.0,51.0,89.0,2.0,780.0,1
9.0,1.0,0.0,6.0,21.0,92.0,9.0,194.0,0
4.0,1.0,0.0,0.0,16.0,50.0,0.0,92.0,0
4.0,0.0,2.0,1.0,4.0,0.0,4.0,7.0,0
33.0,1.0,0.0,7.0,45.0,56.0,32.0,352.0,0
14.0,3.0,0.0,7.0,37.0,75.0,13.0,167.0,0
21.0,1.0,0.0,5.0,33.0,71.0,17.0,299.0,0
4.0,1.0,4.0,11.0,16.0,75.0,4.0,257.0,1
0.0,0.0,2.0,0.0,0.0,0.0,0.0,68.0,0
2.0,4.0,0.0,1.0,43.0,0.0,2.0,13.0,0
34.0,2.0,0.0,6.0,51.0,92.0,6.0,1595.0,0
3.0,6.0,0.0,30.0,630.0,45.0,1.0,467.0,0
2.0,1.0,0.0,15.0,14.0,50.0,1.0,91.0,0
5.0,1.0,0.0,20.0,17.0,50.0,5.0,82.0,0
4.0,1.0,0.0,3.0,16.0,0.0,4.0,17.0,0
16.0,1.0,0.0,8.0,28.0,82.0,14.0,181.0,0
3.0,2.0,0.0,17.0,73.0,22.0,2.0,73.0,0
1.0,1.0,0.0,11.0,13.0,0.0,1.0,58.0,0
18.0,3.0,0.0,9.0,49.0,83.0,18.0,307.0,0
4.0,2.0,0.0,4.0,24.0,33.0,0.0,25.0,0
3.0,0.0,6.0,0.0,3.0,100.0,0.0,6.0,0
6.0,1.0,0.0,5.0,18.0,62.0,5.0,45.0,0
3.0,2.0,0.0,5.0,23.0,33.0,0.0,28.0,0
5.0,2.0,0.0,5.0,25.0,72.0,0.0,91.0,0
5.0,3.0,0.0,5.0,36.0,70.0,5.0,54.0,0
4.0,1.0,0.0,1.0,16.0,0.0,3.0,18.0,0
4.0,3.0,0.0,5.0,41.0,91.0,3.0,37.0,0
5.0,1.0,0.0,5.0,17.0,60.0,3.0,91.0,0
3.0,2.0,0.0,5.0,23.0,16.0,0.0,43.0,0
8.0,1.0,0.0,5.0,20.0,96.0,8.0,177.0,0
4.0,1.0,0.0,0.0,16.0,0.0,3.0,18.0,0
3.0,3.0,0.0,3.0,69.0,0.0,3.0,15.0,0
5.0,3.0,0.0,5.0,38.0,70.0,5.0,54.0,0
3.0,2.0,0.0,4.0,23.0,0.0,0.0,37.0,0
3.0,2.0,0.0,5.0,23.0,33.0,0.0,38.0,0
5.0,2.0,0.0,7.0,25.0,9.0,0.0,72.0,0
3.0,2.0,0.0,3.0,23.0,0.0,0.0,11.0,0
5.0,2.0,0.0,5.0,25.0,30.0,0.0,38.0,0
5.0,1.0,0.0,5.0,17.0,62.0,3.0,83.0,0
4.0,1.0,0.0,1.0,16.0,16.0,3.0,20.0,0
3.0,2.0,0.0,3.0,23.0,33.0,0.0,25.0,0
4.0,2.0,0.0,3.0,24.0,50.0,0.0,25.0,0
14.0,1.0,0.0,6.0,26.0,65.0,10.0,104.0,0
7.0,2.0,0.0,5.0,27.0,46.0,0.0,123.0,0
8.0,1.0,13.0,3.0,20.0,75.0,0.0,35.0,0
46.0,2.0,1.0,34.0,66.0,95.0,26.0,666.0,0
2.0,2.0,0.0,16.0,32.0,0.0,1.0,91.0,1
6.0,0.0,1.0,2.0,6.0,0.0,6.0,8.0,1
4.0,2.0,0.0,14.0,34.0,0.0,1.0,42.0,1
12.0,1.0,0.0,4.0,24.0,48.0,0.0,80.0,1
3.0,2.0,0.0,7.0,33.0,66.0,2.0,27.0,1
8.0,2.0,0.0,14.0,38.0,73.0,2.0,94.0,1
3.0,2.0,0.0,6.0,33.0,77.0,2.0,25.0,1
4.0,2.0,0.0,13.0,34.0,0.0,2.0,80.0,1
7.0,1.0,0.0,4.0,19.0,78.0,3.0,65.0,1
4.0,2.0,0.0,10.0,27.0,75.0,3.0,83.0,1
2.0,2.0,0.0,5.0,32.0,0.0,1.0,13.0,1
1.0,2.0,0.0,1.0,31.0,100.0,1.0,7.0,1
4.0,3.0,0.0,6.0,37.0,75.0,4.0,42.0,1
2.0,0.0,2.0,0.0,2.0,0.0,2.0,5.0,1
7.0,1.0,1.0,0.0,7.0,0.0,7.0,10.0,1
9.0,2.0,0.0,20.0,39.0,72.0,7.0,110.0,1
2.0,2.0,0.0,13.0,32.0,50.0,1.0,76.0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,81.0,1
5.0,1.0,0.0,6.0,17.0,0.0,5.0,56.0,1
3.0,2.0,0.0,8.0,33.0,0.0,2.0,75.0,1
4.0,1.0,1.0,14.0,16.0,75.0,4.0,30.0,1
2.0,2.0,0.0,4.0,32.0,0.0,1.0,15.0,1
2.0,2.0,0.0,6.0,32.0,50.0,1.0,47.0,1
44.0,1.0,0.0,20.0,56.0,87.0,29.0,712.0,1
2.0,2.0,0.0,4.0,32.0,0.0,1.0,17.0,1
11.0,1.0,2.0,18.0,23.0,59.0,8.0,129.0,1
3.0,4.0,0.0,5.0,44.0,33.0,3.0,20.0,1
86.0,2.0,0.0,39.0,109.0,0.0,84.0,155.0,1
10.0,2.0,0.0,26.0,40.0,90.0,1.0,190.0,1
50.0,1.0,0.0,8.0,62.0,90.0,7.0,2098.0,1
13.0,1.0,0.0,5.0,25.0,30.0,13.0,59.0,1
2.0,2.0,0.0,5.0,32.0,50.0,1.0,15.0,1
5.0,2.0,0.0,9.0,35.0,65.0,4.0,66.0,1
3.0,2.0,0.0,6.0,33.0,0.0,2.0,37.0,1
0.0,0.0,13.0,1.0,0.0,0.0,0.0,268.0,1
5.0,2.0,0.0,6.0,35.0,65.0,3.0,56.0,1
351.0,1.0,0.0,70.0,363.0,91.0,88.0,5317.0,1
5.0,2.0,0.0,11.0,32.0,53.0,4.0,47.0,1
2.0,2.0,0.0,6.0,32.0,0.0,2.0,15.0,1
15.0,1.0,1.0,25.0,27.0,82.0,10.0,220.0,1
19.0,1.0,0.0,26.0,31.0,81.0,8.0,537.0,1
10.0,2.0,0.0,6.0,95.0,0.0,7.0,53.0,1
2.0,2.0,0.0,1.0,32.0,50.0,1.0,6.0,1
8.0,2.0,0.0,12.0,38.0,75.0,6.0,56.0,1
4.0,2.0,0.0,7.0,34.0,0.0,2.0,53.0,1
31.0,1.0,0.0,8.0,43.0,80.0,25.0,446.0,1
73.0,1.0,1.0,33.0,85.0,95.0,48.0,765.0,1
56.0,1.0,0.0,45.0,68.0,93.0,45.0,616.0,1
6.0,1.0,0.0,21.0,18.0,0.0,2.0,122.0,1
31.0,1.0,0.0,41.0,43.0,0.0,14.0,605.0,1
22.0,1.0,0.0,43.0,34.0,89.0,6.0,693.0,1
18.0,1.0,38.0,11.0,30.0,88.0,18.0,105.0,1
6.0,2.0,0.0,11.0,36.0,83.0,2.0,55.0,1
3.0,1.0,0.0,2.0,15.0,0.0,3.0,13.0,1
6.0,1.0,1.0,8.0,18.0,83.0,6.0,85.0,1
10.0,4.0,0.0,9.0,59.0,65.0,10.0,71.0,1
1.0,2.0,0.0,1.0,16.0,0.0,1.0,11.0,1
2.0,1.0,0.0,1.0,14.0,93.0,2.0,18.0,1
9.0,1.0,0.0,19.0,21.0,59.0,3.0,156.0,1
6.0,3.0,0.0,3.0,43.0,96.0,4.0,71.0,1
5.0,1.0,0.0,4.0,17.0,70.0,5.0,35.0,1
5.0,2.0,0.0,9.0,35.0,40.0,2.0,80.0,1
1.0,1.0,0.0,1.0,13.0,0.0,1.0,10.0,1
10.0,1.0,0.0,19.0,22.0,85.0,3.0,208.0,1
4.0,2.0,0.0,12.0,34.0,75.0,1.0,88.0,1
12.0,1.0,0.0,7.0,24.0,76.0,7.0,73.0,1
4.0,2.0,0.0,7.0,22.0,0.0,4.0,26.0,1
4.0,1.0,0.0,4.0,16.0,25.0,3.0,25.0,1
11.0,4.0,0.0,5.0,60.0,72.0,10.0,148.0,1
7.0,2.0,0.0,35.0,23.0,0.0,5.0,220.0,1
3.0,1.0,0.0,10.0,15.0,66.0,3.0,66.0,1
2.0,2.0,0.0,3.0,32.0,50.0,2.0,12.0,1
4.0,2.0,0.0,7.0,34.0,50.0,2.0,25.0,1
1.0,4.0,0.0,1.0,42.0,0.0,1.0,7.0,1
1.0,4.0,0.0,1.0,42.0,0.0,1.0,3.0,1
3.0,1.0,1.0,3.0,15.0,66.0,3.0,25.0,1
6.0,2.0,0.0,21.0,36.0,85.0,1.0,164.0,1
12.0,3.0,2.0,4.0,49.0,63.0,9.0,87.0,1
2.0,2.0,0.0,4.0,32.0,0.0,1.0,15.0,1
2.0,0.0,1.0,2.0,2.0,0.0,2.0,8.0,1
4.0,3.0,3.0,5.0,41.0,0.0,3.0,23.0,1
2.0,2.0,0.0,8.0,32.0,56.0,1.0,67.0,1
