PERCENT_PUB_DATA,COUPLING_BETWEEN_OBJECTS,DEPTH,LACK_OF_COHESION_OF_METHODS,NUM_OF_CHILDREN,DEP_ON_CHILD,FAN_IN,RESPONSE_FOR_CLASS,WEIGHTED_METHODS_PER_CLASS,minLOC_EXECUTABLE,minHALSTEAD_CONTENT,minHALSTEAD_DIFFICULTY,minHALSTEAD_EFFORT,minHALSTEAD_ERROR_EST,minHALSTEAD_LENGTH,minHALSTEAD_LEVEL,minHALSTEAD_PROG_TIME,minHALSTEAD_VOLUME,minNUM_OPERANDS,minNUM_OPERATORS,minNUM_UNIQUE_OPERANDS,minNUM_UNIQUE_OPERATORS,minLOC_TOTAL,maxLOC_BLANK,maxBRANCH_COUNT,maxLOC_CODE_AND_COMMENT,maxLOC_COMMENTS,maxCYCLOMATIC_COMPLEXITY,maxDESIGN_COMPLEXITY,maxESSENTIAL_COMPLEXITY,maxLOC_EXECUTABLE,maxHALSTEAD_CONTENT,maxHALSTEAD_DIFFICULTY,maxHALSTEAD_EFFORT,maxHALSTEAD_ERROR_EST,maxHALSTEAD_LENGTH,maxHALSTEAD_LEVEL,maxHALSTEAD_PROG_TIME,maxHALSTEAD_VOLUME,maxNUM_OPERANDS,maxNUM_OPERATORS,maxNUM_UNIQUE_OPERANDS,maxNUM_UNIQUE_OPERATORS,maxLOC_TOTAL,avgLOC_BLANK,avgBRANCH_COUNT,avgLOC_CODE_AND_COMMENT,avgLOC_COMMENTS,avgCYCLOMATIC_COMPLEXITY,avgDESIGN_COMPLEXITY,avgESSENTIAL_COMPLEXITY,avgLOC_EXECUTABLE,avgHALSTEAD_CONTENT,avgHALSTEAD_DIFFICULTY,avgHALSTEAD_EFFORT,avgHALSTEAD_ERROR_EST,avgHALSTEAD_LENGTH,avgHALSTEAD_LEVEL,avgHALSTEAD_PROG_TIME,avgHALSTEAD_VOLUME,avgNUM_OPERANDS,avgNUM_OPERATORS,avgNUM_UNIQUE_OPERANDS,avgNUM_UNIQUE_OPERATORS,avgLOC_TOTAL,sumLOC_BLANK,sumBRANCH_COUNT,sumLOC_CODE_AND_COMMENT,sumLOC_COMMENTS,sumCYCLOMATIC_COMPLEXITY,sumDESIGN_COMPLEXITY,sumESSENTIAL_COMPLEXITY,sumLOC_EXECUTABLE,sumHALSTEAD_CONTENT,sumHALSTEAD_DIFFICULTY,sumHALSTEAD_EFFORT,sumHALSTEAD_ERROR_EST,sumHALSTEAD_LENGTH,sumHALSTEAD_LEVEL,sumHALSTEAD_PROG_TIME,sumHALSTEAD_VOLUME,sumNUM_OPERANDS,sumNUM_OPERATORS,sumNUM_UNIQUE_OPERANDS,sumNUM_UNIQUE_OPERATORS,sumLOC_TOTAL,class
0.0,24.0,4.0,100.0,0.0,0.0,2.0,110.0,73.0,0.0,5.8,1.5,17.41,0.0,5.0,0.02,0.97,11.61,1.0,3.0,1.0,3.0,2.0,15.0,89.0,0.0,26.0,45.0,45.0,12.0,262.0,116.45,44.9,234743.54,1.74,794.0,0.67,13041.31,5228.46,285.0,509.0,73.0,23.0,288.0,2.797101,10.072464,0.0,2.028986,5.565217,5.376812,2.246377,33.521739,32.564928,13.673913,13296.29,0.186667,106.898551,0.121594,738.6828,559.431159,37.318841,69.57971,15.449275,12.057971,40.985507,193.0,695.0,0.0,140.0,384.0,371.0,155.0,2313.0,2246.98,943.5,917443.78,12.88,7376.0,8.39,50969.11,38600.75,2575.0,4801.0,1066.0,832.0,2828.0,0
0.0,19.0,4.0,100.0,0.0,0.0,3.0,78.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,17.0,49.0,0.0,11.0,25.0,25.0,11.0,179.0,115.99,32.93,125808.33,1.27,606.0,0.67,6989.35,3820.09,208.0,398.0,60.0,20.0,210.0,2.7,11.466667,0.0,1.7,6.233333,6.1,3.466667,33.6,33.971667,12.593333,13488.54,0.201333,111.666667,0.146667,749.3637,602.709,38.933333,72.733333,16.1,11.2,40.7,81.0,344.0,0.0,51.0,187.0,183.0,104.0,1008.0,1019.15,377.8,404656.23,6.04,3350.0,4.4,22480.91,18081.27,1168.0,2182.0,483.0,336.0,1221.0,0
100.0,13.0,1.0,88.0,0.0,0.0,0.0,99.0,99.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,12.0,0.0,2.0,7.0,7.0,3.0,78.0,166.37,39.0,23269.16,0.63,311.0,0.67,1292.73,1893.2,104.0,207.0,55.0,13.0,84.0,1.463158,2.189474,0.0,0.294737,1.610526,1.6,1.105263,11.578947,24.408737,5.025053,1386.678,0.054105,35.547368,0.342211,77.038,165.644421,13.452632,22.094737,8.557895,6.4,16.021053,139.0,208.0,0.0,28.0,153.0,152.0,105.0,1100.0,2318.83,477.38,131734.45,5.14,3377.0,32.51,7318.61,15736.22,1278.0,2099.0,813.0,608.0,1522.0,0
0.0,21.0,4.0,100.0,0.0,0.0,2.0,68.0,30.0,0.0,7.74,1.5,17.41,0.0,5.0,0.03,0.97,11.61,2.0,3.0,2.0,3.0,2.0,12.0,35.0,0.0,14.0,18.0,18.0,9.0,110.0,77.47,28.71,58255.33,0.68,331.0,0.67,3236.41,2028.79,134.0,197.0,49.0,21.0,132.0,3.571429,10.464286,0.0,3.392857,5.75,5.321429,2.25,40.642857,40.241786,14.275714,14758.77,0.240357,133.75,0.141071,819.9304,718.383571,49.75,84.0,19.678571,11.892857,50.285714,100.0,293.0,0.0,95.0,161.0,149.0,63.0,1138.0,1126.77,399.72,413245.43,6.73,3745.0,3.95,22958.05,20114.74,1393.0,2352.0,551.0,333.0,1408.0,0
5.0,17.0,2.0,90.0,0.0,0.0,1.0,69.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,35.0,1.0,4.0,18.0,18.0,11.0,71.0,81.84,29.86,44757.43,0.5,257.0,0.67,2486.52,1499.05,95.0,162.0,35.0,22.0,93.0,1.111111,3.555556,0.027778,0.25,2.333333,2.277778,1.555556,10.833333,20.586667,5.206389,2861.838,0.063889,39.222222,0.418333,158.9925,195.2925,14.138889,25.083333,8.055556,6.361111,14.0,40.0,128.0,1.0,9.0,84.0,82.0,56.0,390.0,741.12,187.43,103026.17,2.3,1412.0,15.06,5723.73,7030.53,509.0,903.0,290.0,229.0,504.0,0
0.0,10.0,1.0,88.0,0.0,0.0,0.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,11.0,0.0,7.0,6.0,6.0,5.0,33.0,73.32,14.63,10369.98,0.28,156.0,2.0,576.11,841.2,55.0,101.0,29.0,13.0,47.0,0.571429,3.761905,0.0,0.333333,2.380952,2.380952,1.190476,13.428571,32.521905,7.252857,2431.322,0.08619,55.571429,0.220952,135.0729,260.512857,22.761905,32.809524,13.095238,8.380952,19.238095,12.0,79.0,0.0,7.0,50.0,50.0,25.0,282.0,682.96,152.31,51057.77,1.81,1167.0,4.64,2836.53,5470.77,478.0,689.0,275.0,176.0,404.0,0
0.0,19.0,3.0,94.0,0.0,0.0,3.0,53.0,17.0,0.0,4.44,1.5,12.0,0.0,4.0,0.03,0.67,8.0,1.0,3.0,1.0,3.0,1.0,5.0,27.0,0.0,3.0,14.0,14.0,7.0,88.0,53.32,30.12,48369.03,0.54,273.0,0.67,2687.17,1605.96,109.0,164.0,38.0,21.0,97.0,1.384615,6.076923,0.0,0.538462,3.615385,3.307692,1.769231,18.307692,22.101539,8.505385,5323.303,0.093077,56.230769,0.263846,295.7392,280.578462,21.692308,34.538462,10.461539,8.538462,22.538462,18.0,79.0,0.0,7.0,47.0,43.0,23.0,238.0,287.32,110.57,69202.94,1.21,731.0,3.43,3844.61,3647.52,282.0,449.0,136.0,111.0,293.0,0
0.0,14.0,2.0,90.0,0.0,0.0,1.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,1.0,0.0,7.0,7.0,3.0,44.0,46.71,21.67,20870.83,0.32,181.0,0.67,1159.49,963.27,65.0,116.0,24.0,16.0,53.0,1.565217,3.0,0.043478,0.0,2.0,2.0,1.26087,11.521739,21.993913,6.525652,3009.543,0.06913,43.73913,0.244348,167.1957,207.044348,17.086957,26.652174,9.347826,7.695652,16.565217,36.0,69.0,1.0,0.0,46.0,46.0,29.0,265.0,505.86,150.09,69219.5,1.59,1006.0,5.62,3845.5,4762.02,393.0,613.0,215.0,177.0,381.0,0
0.0,18.0,2.0,100.0,1.0,1.0,1.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,31.0,1.0,0.0,16.0,16.0,9.0,82.0,54.5,27.64,41638.64,0.5,254.0,1.0,2313.26,1506.41,98.0,156.0,39.0,22.0,95.0,1.666667,5.166667,0.083333,0.0,3.083333,3.0,1.666667,15.75,19.494167,6.0925,4539.076,0.075,43.833333,0.4075,252.1717,224.245,18.333333,25.5,8.833333,6.5,20.166667,20.0,62.0,1.0,0.0,37.0,36.0,20.0,189.0,233.93,73.11,54468.91,0.9,526.0,4.89,3026.06,2690.94,220.0,306.0,106.0,78.0,242.0,0
0.0,18.0,2.0,100.0,1.0,1.0,1.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,29.0,0.0,0.0,15.0,15.0,9.0,72.0,53.35,25.26,34029.33,0.45,230.0,1.0,1890.52,1347.34,89.0,141.0,37.0,21.0,84.0,1.75,5.0,0.0,0.0,3.0,2.916667,1.666667,14.916667,19.533333,5.993333,3910.016,0.0725,42.416667,0.395,217.225,213.0525,17.75,24.666667,8.75,6.5,19.333333,21.0,60.0,0.0,0.0,36.0,35.0,20.0,179.0,234.4,71.92,46920.19,0.87,509.0,4.74,2606.7,2556.63,213.0,296.0,105.0,78.0,232.0,0
