LOC6_0,LOC6_1,Added_LoC,Del_LoC,Diff_Block,Mod_Rate,Mod_Know,ReusedLoC,class
127.0,126.0,6.0,7.0,2.0,10.0,1.0,120.0,1
458.0,441.0,50.0,67.0,17.0,23.0,1.0,391.0,1
182.0,178.0,10.0,14.0,3.0,13.0,1.0,168.0,1
270.0,270.0,14.0,14.0,3.0,10.0,1.0,256.0,1
107.0,104.0,11.0,14.0,4.0,21.0,1.0,93.0,1
892.0,869.0,40.0,63.0,16.0,11.0,1.0,829.0,1
816.0,800.0,80.0,96.0,26.0,20.0,1.0,720.0,1
685.0,669.0,64.0,84.0,22.0,20.0,1.0,601.0,1
2728.0,2757.0,73.0,44.0,22.0,4.0,1.0,2684.0,1
2924.0,2923.0,219.0,220.0,58.0,14.0,1.0,2704.0,1
875.0,862.0,95.0,108.0,32.0,21.0,1.0,767.0,1
243.0,240.0,9.0,12.0,3.0,8.0,1.0,231.0,1
1851.0,1834.0,363.0,380.0,65.0,34.0,1.0,1471.0,1
1349.0,1410.0,330.0,269.0,87.0,36.0,1.0,1080.0,1
817.0,761.0,128.0,184.0,28.0,33.0,1.0,633.0,1
2218.0,2198.0,251.0,271.0,55.0,21.0,2.0,1947.0,1
1441.0,1378.0,107.0,170.0,39.0,18.0,2.0,1271.0,1
790.0,750.0,61.0,101.0,24.0,19.0,2.0,689.0,1
2017.0,2058.0,227.0,186.0,53.0,18.0,1.0,1831.0,1
1026.0,1046.0,109.0,89.0,26.0,17.0,2.0,937.0,1
409.0,414.0,44.0,39.0,13.0,18.0,1.0,370.0,1
182.0,178.0,14.0,18.0,5.0,16.0,1.0,164.0,1
758.0,751.0,51.0,58.0,12.0,13.0,1.0,700.0,1
1834.0,1786.0,229.0,277.0,75.0,25.0,1.0,1557.0,1
1238.0,1159.0,231.0,310.0,77.0,37.0,2.0,928.0,1
301.0,306.0,44.0,39.0,11.0,24.0,1.0,262.0,1
878.0,868.0,113.0,123.0,24.0,24.0,1.0,755.0,1
354.0,329.0,91.0,116.0,21.0,47.0,1.0,238.0,1
99.0,98.0,5.0,6.0,2.0,11.0,1.0,93.0,1
22.0,22.0,2.0,2.0,1.0,17.0,1.0,20.0,1
20.0,20.0,2.0,2.0,1.0,18.0,1.0,18.0,1
86.0,87.0,22.0,21.0,11.0,40.0,1.0,65.0,1
34.0,33.0,6.0,7.0,2.0,33.0,1.0,27.0,1
30.0,29.0,6.0,7.0,3.0,36.0,1.0,23.0,1
493.0,466.0,88.0,115.0,35.0,35.0,2.0,378.0,1
226.0,267.0,76.0,35.0,10.0,37.0,1.0,191.0,1
866.0,858.0,60.0,68.0,18.0,14.0,1.0,798.0,1
686.0,676.0,43.0,53.0,14.0,13.0,1.0,633.0,1
988.0,988.0,2.0,2.0,1.0,0.0,1.0,986.0,1
1077.0,1069.0,38.0,46.0,13.0,8.0,1.0,1031.0,1
781.0,798.0,72.0,55.0,21.0,15.0,1.0,726.0,1
489.0,482.0,48.0,55.0,13.0,19.0,1.0,434.0,1
615.0,618.0,29.0,26.0,5.0,9.0,1.0,589.0,1
96.0,95.0,6.0,7.0,2.0,13.0,1.0,89.0,1
893.0,896.0,5.0,2.0,4.0,1.0,1.0,891.0,1
1347.0,1399.0,130.0,78.0,25.0,14.0,1.0,1269.0,1
500.0,528.0,97.0,69.0,18.0,28.0,1.0,431.0,1
161.0,402.0,300.0,59.0,16.0,78.0,2.0,102.0,1
5408.0,5336.0,411.0,483.0,95.0,15.0,1.0,4925.0,1
2232.0,2187.0,235.0,280.0,66.0,21.0,2.0,1952.0,1
1233.0,1209.0,110.0,134.0,30.0,18.0,2.0,1099.0,1
1076.0,1106.0,130.0,100.0,33.0,19.0,2.0,976.0,1
1267.0,1278.0,145.0,134.0,31.0,20.0,1.0,1133.0,1
1793.0,1813.0,336.0,316.0,52.0,31.0,2.0,1477.0,1
193.0,214.0,66.0,45.0,7.0,43.0,1.0,148.0,1
473.0,480.0,36.0,29.0,8.0,13.0,1.0,444.0,1
148.0,220.0,113.0,41.0,18.0,59.0,1.0,107.0,1
420.0,418.0,76.0,78.0,18.0,31.0,1.0,342.0,1
677.0,704.0,92.0,65.0,27.0,20.0,1.0,612.0,1
1400.0,1410.0,144.0,134.0,39.0,18.0,1.0,1266.0,1
508.0,487.0,66.0,87.0,23.0,27.0,2.0,421.0,1
50.0,44.0,18.0,24.0,3.0,62.0,1.0,26.0,1
15.0,15.0,3.0,3.0,3.0,33.0,1.0,12.0,1
627.0,605.0,36.0,58.0,12.0,14.0,2.0,569.0,0
518.0,571.0,147.0,94.0,19.0,36.0,2.0,424.0,0
189.0,201.0,53.0,41.0,9.0,39.0,1.0,148.0,1
145.0,140.0,11.0,16.0,4.0,17.0,1.0,129.0,1
1219.0,1224.0,113.0,108.0,40.0,17.0,1.0,1111.0,1
2640.0,2610.0,78.0,108.0,27.0,7.0,1.0,2532.0,1
1017.0,1022.0,35.0,30.0,13.0,6.0,1.0,987.0,1
1041.0,1020.0,101.0,122.0,30.0,20.0,1.0,919.0,1
1666.0,1675.0,33.0,24.0,9.0,3.0,1.0,1642.0,1
192.0,184.0,15.0,23.0,5.0,18.0,1.0,169.0,1
977.0,975.0,156.0,158.0,26.0,28.0,1.0,819.0,1
1427.0,1388.0,57.0,96.0,23.0,10.0,1.0,1331.0,1
2005.0,2180.0,504.0,329.0,63.0,33.0,1.0,1676.0,1
2500.0,2407.0,422.0,515.0,58.0,32.0,1.0,1985.0,1
1226.0,1208.0,74.0,92.0,17.0,13.0,1.0,1134.0,1
1324.0,1254.0,524.0,594.0,42.0,60.0,1.0,730.0,1
1643.0,1636.0,136.0,143.0,22.0,16.0,1.0,1500.0,1
1848.0,1908.0,204.0,144.0,28.0,17.0,1.0,1704.0,1
694.0,736.0,174.0,132.0,26.0,35.0,1.0,562.0,1
398.0,412.0,102.0,88.0,15.0,38.0,1.0,310.0,1
3673.0,3767.0,497.0,403.0,96.0,22.0,1.0,3270.0,0
73.0,72.0,7.0,8.0,2.0,19.0,2.0,65.0,1
160.0,149.0,38.0,49.0,13.0,44.0,2.0,111.0,1
397.0,387.0,35.0,45.0,10.0,19.0,2.0,352.0,1
175.0,172.0,13.0,16.0,4.0,15.0,2.0,159.0,1
989.0,1113.0,248.0,124.0,42.0,30.0,2.0,865.0,1
136.0,133.0,11.0,14.0,4.0,17.0,2.0,122.0,1
253.0,273.0,51.0,31.0,10.0,27.0,2.0,222.0,1
495.0,506.0,116.0,105.0,29.0,36.0,2.0,390.0,1
354.0,398.0,103.0,59.0,32.0,35.0,2.0,295.0,1
70.0,68.0,10.0,12.0,3.0,28.0,2.0,58.0,1
259.0,257.0,19.0,21.0,8.0,14.0,2.0,238.0,1
359.0,361.0,38.0,36.0,8.0,19.0,2.0,323.0,1
1402.0,1482.0,284.0,204.0,60.0,29.0,2.0,1198.0,1
620.0,611.0,68.0,77.0,21.0,21.0,2.0,543.0,1
207.0,199.0,34.0,42.0,9.0,32.0,2.0,165.0,1
533.0,544.0,108.0,97.0,17.0,32.0,2.0,436.0,1
56.0,66.0,26.0,16.0,5.0,51.0,2.0,40.0,0
1654.0,1671.0,331.0,314.0,88.0,32.0,2.0,1340.0,0
844.0,869.0,152.0,127.0,38.0,28.0,2.0,717.0,0
249.0,346.0,213.0,116.0,20.0,71.0,2.0,133.0,0
2494.0,2721.0,479.0,252.0,95.0,25.0,2.0,2242.0,0
318.0,302.0,47.0,63.0,11.0,30.0,2.0,255.0,1
548.0,620.0,126.0,54.0,21.0,27.0,2.0,494.0,1
467.0,463.0,46.0,50.0,10.0,19.0,2.0,417.0,1
1078.0,1086.0,103.0,95.0,25.0,17.0,2.0,983.0,1
2338.0,2425.0,349.0,262.0,70.0,23.0,2.0,2076.0,1
126.0,124.0,11.0,13.0,3.0,18.0,2.0,113.0,1
