V1,V2,V3,V4,V5,class
high,left,impression,yes,yes,1
high,left,political,yes,yes,1
medium,middle,tourism,yes,yes,1
high,left,political,yes,yes,1
medium,middle,news,yes,yes,1
medium,middle,news,yes,yes,1
high,left,political,yes,yes,1
high,right,political,yes,no,1
high,right,political,yes,no,0
medium,right,tourism,yes,no,1
high,right,tourism,yes,yes,1
medium,left,news,yes,no,1
high,left,political,yes,yes,0
low,right,news,no,yes,0
high,left,political,yes,yes,1
medium,left,impression,yes,yes,1
medium,left,political,yes,yes,1
high,right,political,yes,yes,1
medium,left,impression,yes,yes,1
high,right,tourism,yes,yes,0
high,left,political,yes,yes,1
medium,left,news,yes,yes,1
high,right,political,no,yes,0
low,left,tourism,yes,no,0
high,left,news,yes,yes,1
high,left,political,yes,yes,1
low,right,impression,no,no,1
high,right,political,yes,yes,1
high,left,impression,no,no,1
medium,left,scientific,yes,yes,0
high,right,political,yes,yes,1
low,left,scientific,yes,yes,0
medium,right,tourism,yes,yes,0
low,right,political,yes,yes,1
high,left,impression,yes,no,1
medium,left,tourism,yes,no,1
medium,middle,scientific,yes,no,1
medium,middle,impression,no,yes,0
medium,right,scientific,yes,yes,0
medium,left,impression,no,no,1
high,left,political,yes,yes,0
medium,left,news,no,yes,1
high,left,political,yes,yes,1
medium,right,news,yes,yes,0
medium,left,tourism,yes,no,1
medium,middle,news,yes,yes,1
low,middle,impression,yes,no,0
low,right,impression,yes,no,0
medium,right,news,yes,yes,0
medium,left,impression,yes,yes,1
high,left,political,yes,yes,1
high,left,political,yes,yes,1
medium,middle,tourism,yes,yes,1
high,left,political,yes,yes,1
medium,middle,news,yes,yes,1
medium,middle,news,yes,yes,1
high,left,political,yes,yes,1
high,right,political,yes,no,1
high,right,political,yes,no,0
medium,right,tourism,yes,no,1
medium,right,tourism,yes,yes,1
medium,left,news,yes,no,1
high,left,impression,yes,yes,0
low,right,news,no,yes,0
high,left,political,yes,yes,1
medium,left,impression,yes,yes,1
medium,left,political,yes,yes,1
high,right,political,yes,yes,1
medium,left,political,yes,yes,1
high,right,impression,yes,yes,0
medium,left,political,yes,yes,1
medium,left,news,yes,yes,1
medium,right,political,no,yes,0
low,left,tourism,yes,no,0
high,left,news,yes,yes,1
high,left,political,yes,yes,1
low,right,impression,no,no,1
high,right,political,yes,yes,1
high,left,impression,no,no,1
medium,left,scientific,yes,yes,0
high,right,political,yes,yes,1
low,left,scientific,yes,yes,0
medium,right,tourism,yes,yes,0
low,right,political,yes,yes,1
high,left,impression,yes,no,1
medium,left,tourism,yes,no,1
medium,middle,impression,yes,no,1
medium,middle,impression,no,yes,0
medium,right,scientific,yes,yes,0
medium,left,impression,no,no,1
high,left,political,yes,yes,0
medium,left,news,no,yes,1
high,left,political,yes,yes,1
medium,right,news,yes,yes,0
medium,left,tourism,yes,no,1
medium,middle,impression,yes,yes,1
low,middle,impression,yes,no,0
low,right,impression,yes,no,0
medium,right,news,yes,yes,0
medium,left,impression,yes,yes,1
