V1,V2,V3,class
291.0,802.0,0.538755,0
234.0,657.0,0.620512,0
331.0,697.0,0.443227,0
352.0,772.0,0.574208,0
41.0,808.0,0.758991,0
372.0,892.0,0.538957,0
447.0,951.0,0.747554,0
364.0,974.0,0.706127,0
359.0,957.0,0.478071,0
368.0,914.0,0.545971,0
230.0,811.0,0.607911,0
82.0,622.0,0.648503,0
118.0,654.0,0.615878,0
166.0,617.0,0.552156,0
349.0,725.0,0.71727,0
128.0,814.0,0.700652,0
464.0,794.0,0.640863,0
483.0,710.0,0.579615,0
546.0,974.0,0.713253,0
535.0,812.0,0.53229,0
945.0,841.0,0.65309,0
968.0,856.0,0.702069,0
805.0,573.0,0.690934,0
679.0,630.0,0.445181,0
978.0,132.0,0.661481,0
399.0,800.0,0.558922,0
423.0,800.0,0.565849,0
358.0,678.0,0.546654,0
255.0,721.0,0.495301,0
480.0,872.0,0.541334,0
278.0,16.0,0.356864,1
385.0,16.0,0.358185,1
411.0,20.0,0.429404,1
571.0,20.0,0.426795,1
600.0,19.0,0.382975,1
150.0,20.0,0.350395,1
235.0,24.0,0.359402,1
491.0,35.0,0.460969,1
678.0,24.0,0.358206,1
27.0,28.0,0.385505,1
978.0,24.0,0.350573,1
65.0,29.0,0.365609,1
850.0,29.0,0.418172,1
921.0,29.0,0.382838,1
456.0,34.0,0.350712,1
76.0,38.0,0.354757,1
321.0,47.0,0.411563,1
50.0,47.0,0.47039,1
422.0,46.0,0.385428,1
180.0,45.0,0.366417,1
280.0,54.0,0.3844,1
598.0,55.0,0.464171,1
956.0,52.0,0.367532,1
371.0,56.0,0.388185,1
385.0,58.0,0.430453,1
972.0,58.0,0.359789,1
348.0,64.0,0.401471,1
991.0,62.0,0.394432,1
221.0,67.0,0.416607,1
436.0,66.0,0.350279,1
529.0,68.0,0.409141,1
442.0,76.0,0.392559,1
275.0,78.0,0.425569,1
867.0,79.0,0.425862,1
714.0,80.0,0.357699,1
93.0,85.0,0.43429,1
401.0,91.0,0.469293,1
544.0,88.0,0.476876,1
368.0,88.0,0.450994,1
824.0,87.0,0.376478,1
458.0,89.0,0.381577,1
428.0,97.0,0.474584,1
729.0,95.0,0.379236,1
767.0,96.0,0.393812,1
697.0,128.0,0.457934,1
740.0,108.0,0.39649,1
163.0,112.0,0.365941,1
618.0,109.0,0.370582,1
20.0,112.0,0.407714,1
431.0,128.0,0.543306,1
532.0,113.0,0.373159,1
640.0,120.0,0.398297,1
476.0,122.0,0.37395,1
213.0,129.0,0.417187,1
179.0,127.0,0.369073,1
83.0,130.0,0.410601,1
760.0,129.0,0.373449,1
850.0,130.0,0.404216,1
634.0,131.0,0.353559,1
520.0,145.0,0.478074,1
407.0,147.0,0.414599,1
828.0,149.0,0.383783,1
168.0,158.0,0.433143,1
453.0,159.0,0.450049,1
203.0,161.0,0.513088,1
45.0,165.0,0.460279,1
109.0,165.0,0.457135,1
413.0,159.0,0.394279,1
794.0,164.0,0.425144,1
673.0,164.0,0.384158,1
733.0,170.0,0.432615,1
421.0,179.0,0.468555,1
308.0,175.0,0.362522,1
503.0,175.0,0.373316,1
128.0,178.0,0.354905,1
488.0,202.0,0.423611,1
222.0,185.0,0.530981,1
258.0,181.0,0.369289,1
606.0,186.0,0.413947,1
821.0,182.0,0.369456,1
551.0,188.0,0.412515,1
515.0,191.0,0.388791,1
580.0,188.0,0.356917,1
272.0,194.0,0.412044,1
906.0,193.0,0.392365,1
307.0,196.0,0.375504,1
813.0,205.0,0.449054,1
67.0,202.0,0.40724,1
552.0,202.0,0.363711,1
888.0,208.0,0.420624,1
256.0,218.0,0.47539,1
630.0,232.0,0.425493,1
931.0,210.0,0.40173,1
327.0,217.0,0.454978,1
413.0,231.0,0.546945,1
664.0,227.0,0.438414,1
297.0,228.0,0.440315,1
365.0,236.0,0.45058,1
965.0,234.0,0.434529,1
206.0,232.0,0.414693,1
836.0,230.0,0.351812,1
242.0,237.0,0.377342,1
740.0,234.0,0.361579,1
322.0,237.0,0.363306,1
887.0,247.0,0.381179,1
980.0,244.0,0.354538,1
490.0,250.0,0.390518,1
174.0,258.0,0.425351,1
986.0,248.0,0.354594,1
926.0,255.0,0.387932,1
421.0,257.0,0.404218,1
60.0,257.0,0.359761,1
276.0,260.0,0.354343,1
336.0,263.0,0.436227,1
130.0,262.0,0.391746,1
868.0,261.0,0.365664,1
652.0,266.0,0.395937,1
440.0,273.0,0.454332,1
399.0,278.0,0.48537,1
508.0,282.0,0.457684,1
907.0,272.0,0.38763,1
242.0,272.0,0.408428,1
956.0,288.0,0.442705,1
282.0,271.0,0.356445,1
54.0,280.0,0.395668,1
299.0,286.0,0.390916,1
37.0,292.0,0.403925,1
