V1,V2,V3,class
428.0,221.0,0.403955,0
166.0,397.0,0.488407,0
586.0,735.0,0.685976,0
886.0,969.0,0.721785,0
815.0,594.0,0.373362,0
957.0,412.0,0.518242,0
499.0,564.0,0.432403,0
414.0,805.0,0.546711,0
693.0,886.0,0.529251,0
569.0,17.0,0.404846,1
282.0,25.0,0.408177,1
69.0,27.0,0.41876,1
196.0,27.0,0.354457,1
745.0,26.0,0.387354,1
370.0,30.0,0.439642,1
491.0,39.0,0.406929,1
916.0,34.0,0.370558,1
378.0,44.0,0.396133,1
935.0,44.0,0.365242,1
797.0,52.0,0.46134,1
992.0,48.0,0.360972,1
37.0,54.0,0.37122,1
479.0,62.0,0.441798,1
42.0,62.0,0.350077,1
377.0,82.0,0.377866,1
538.0,85.0,0.372869,1
27.0,92.0,0.400615,1
394.0,97.0,0.420898,1
212.0,100.0,0.359569,1
327.0,102.0,0.355948,1
88.0,106.0,0.359035,1
282.0,107.0,0.387446,1
858.0,106.0,0.393756,1
518.0,108.0,0.351582,1
883.0,122.0,0.36925,1
952.0,129.0,0.384816,1
828.0,133.0,0.357409,1
917.0,138.0,0.370266,1
970.0,140.0,0.367742,1
17.0,158.0,0.392553,1
917.0,165.0,0.373479,1
530.0,168.0,0.364314,1
23.0,175.0,0.552354,1
666.0,172.0,0.350159,1
213.0,181.0,0.39055,1
254.0,192.0,0.36862,1
443.0,198.0,0.368862,1
932.0,196.0,0.350632,1
772.0,202.0,0.357154,1
998.0,205.0,0.379541,1
657.0,208.0,0.361602,1
19.0,220.0,0.354983,1
672.0,220.0,0.355367,1
575.0,223.0,0.366596,1
426.0,238.0,0.351413,1
396.0,247.0,0.385582,1
408.0,250.0,0.364492,1
307.0,258.0,0.399101,1
453.0,260.0,0.392126,1
44.0,270.0,0.352916,1
244.0,279.0,0.409962,1
59.0,285.0,0.372102,1
396.0,291.0,0.362213,1
188.0,298.0,0.3511,1
76.0,303.0,0.385856,1
568.0,308.0,0.406364,1
843.0,312.0,0.380299,1
84.0,314.0,0.38333,1
374.0,324.0,0.493547,1
100.0,325.0,0.377498,1
838.0,328.0,0.364404,1
62.0,360.0,0.387274,1
182.0,365.0,0.416992,1
671.0,361.0,0.366543,1
288.0,373.0,0.370174,1
588.0,372.0,0.357813,1
624.0,376.0,0.354115,1
709.0,378.0,0.375794,1
885.0,382.0,0.403078,1
221.0,390.0,0.40098,1
218.0,400.0,0.362644,1
403.0,402.0,0.42366,1
51.0,405.0,0.379676,1
584.0,405.0,0.388616,1
106.0,408.0,0.363443,1
907.0,428.0,0.380883,1
956.0,462.0,0.357466,1
206.0,477.0,0.366938,1
824.0,476.0,0.350839,1
841.0,481.0,0.384274,1
79.0,491.0,0.452699,1
844.0,491.0,0.364738,1
758.0,492.0,0.357017,1
141.0,499.0,0.372151,1
182.0,500.0,0.383813,1
363.0,505.0,0.410863,1
857.0,511.0,0.381614,1
883.0,520.0,0.363421,1
892.0,524.0,0.357585,1
910.0,527.0,0.447678,1
954.0,531.0,0.444997,1
389.0,536.0,0.429724,1
358.0,543.0,0.383438,1
143.0,566.0,0.381211,1
258.0,562.0,0.363635,1
264.0,575.0,0.386357,1
882.0,575.0,0.371358,1
156.0,577.0,0.360836,1
888.0,578.0,0.372456,1
944.0,578.0,0.373985,1
591.0,591.0,0.374716,1
163.0,599.0,0.352855,1
817.0,634.0,0.351269,1
362.0,654.0,0.373668,1
308.0,657.0,0.424322,1
436.0,665.0,0.378846,1
869.0,672.0,0.360034,1
781.0,706.0,0.386012,1
99.0,717.0,0.385155,1
401.0,746.0,0.3602,1
400.0,762.0,0.358814,1
642.0,764.0,0.359116,1
25.0,775.0,0.423498,1
665.0,779.0,0.39551,1
646.0,785.0,0.38703,1
494.0,791.0,0.377288,1
85.0,792.0,0.376515,1
518.0,793.0,0.438168,1
909.0,801.0,0.458112,1
936.0,806.0,0.353178,1
583.0,816.0,0.393825,1
28.0,828.0,0.430417,1
592.0,839.0,0.398185,1
807.0,842.0,0.378793,1
46.0,846.0,0.353153,1
832.0,846.0,0.375505,1
775.0,850.0,0.3707,1
56.0,858.0,0.4092,1
86.0,859.0,0.443318,1
972.0,857.0,0.361817,1
559.0,858.0,0.379647,1
704.0,862.0,0.386996,1
881.0,866.0,0.368636,1
620.0,869.0,0.466758,1
1004.0,869.0,0.393965,1
266.0,884.0,0.3658,1
86.0,893.0,0.400712,1
583.0,892.0,0.404426,1
832.0,890.0,0.363228,1
644.0,898.0,0.353649,1
605.0,910.0,0.394306,1
825.0,916.0,0.363943,1
914.0,916.0,0.369073,1
163.0,925.0,0.359269,1
558.0,952.0,0.491916,1
461.0,952.0,0.39984,1
123.0,987.0,0.369534,1
328.0,991.0,0.372266,1
798.0,992.0,0.387267,1
56.0,999.0,0.424044,1
25.0,1000.0,0.405109,1
747.0,1004.0,0.36516,1
380.0,1006.0,0.358807,1
107.0,24.0,0.518921,0
749.0,557.0,0.455365,0
744.0,612.0,0.551915,0
838.0,999.0,0.534975,0
753.0,836.0,0.555338,0
646.0,776.0,0.544119,0
814.0,896.0,0.459918,0
420.0,16.0,0.369131,1
502.0,17.0,0.419537,1
878.0,18.0,0.358886,1
