V1,V2,V3,class
84.0,670.0,0.604525,0
861.0,710.0,0.482706,0
737.0,247.0,0.417281,0
247.0,72.0,0.526258,1
751.0,24.0,0.480373,1
182.0,36.0,0.457706,1
818.0,28.0,0.388915,1
956.0,27.0,0.362631,1
358.0,32.0,0.376597,1
398.0,43.0,0.354342,1
130.0,44.0,0.351908,1
938.0,59.0,0.371697,1
836.0,60.0,0.355242,1
996.0,63.0,0.350859,1
738.0,70.0,0.355558,1
801.0,92.0,0.450828,1
950.0,79.0,0.409532,1
732.0,79.0,0.352521,1
829.0,82.0,0.370251,1
170.0,94.0,0.436706,1
131.0,90.0,0.372116,1
511.0,100.0,0.487747,1
128.0,104.0,0.409037,1
396.0,111.0,0.358308,1
350.0,117.0,0.464468,1
979.0,134.0,0.558482,1
233.0,147.0,0.46715,1
894.0,134.0,0.372479,1
636.0,142.0,0.380661,1
514.0,144.0,0.358089,1
716.0,149.0,0.40197,1
665.0,147.0,0.363945,1
893.0,157.0,0.441243,1
789.0,167.0,0.462387,1
749.0,164.0,0.388552,1
172.0,174.0,0.386362,1
392.0,177.0,0.379248,1
887.0,177.0,0.417759,1
532.0,192.0,0.562049,1
948.0,180.0,0.364664,1
225.0,216.0,0.484609,1
739.0,185.0,0.46577,1
284.0,197.0,0.385255,1
396.0,197.0,0.369238,1
805.0,205.0,0.431474,1
172.0,210.0,0.412769,1
896.0,210.0,0.376013,1
950.0,222.0,0.426017,1
978.0,210.0,0.351352,1
291.0,213.0,0.37731,1
277.0,216.0,0.359651,1
525.0,218.0,0.362456,1
735.0,225.0,0.493284,1
701.0,223.0,0.452792,1
758.0,287.0,0.466355,1
866.0,243.0,0.472923,1
898.0,228.0,0.360747,1
175.0,242.0,0.452363,1
523.0,238.0,0.391369,1
440.0,243.0,0.431999,1
700.0,241.0,0.367313,1
398.0,251.0,0.404543,1
323.0,248.0,0.434855,1
891.0,254.0,0.379267,1
940.0,266.0,0.477924,1
555.0,264.0,0.383099,1
1001.0,279.0,0.481805,1
658.0,279.0,0.463585,1
242.0,285.0,0.472298,1
882.0,284.0,0.513351,1
122.0,289.0,0.411279,1
212.0,322.0,0.53342,1
423.0,287.0,0.386055,1
162.0,285.0,0.370411,1
325.0,287.0,0.390123,1
612.0,296.0,0.370221,1
983.0,297.0,0.392474,1
996.0,299.0,0.381484,1
162.0,302.0,0.404077,1
496.0,298.0,0.3562,1
323.0,303.0,0.372463,1
563.0,308.0,0.473171,1
704.0,303.0,0.364336,1
696.0,305.0,0.35655,1
410.0,312.0,0.408574,1
672.0,373.0,0.574657,1
604.0,320.0,0.365931,1
157.0,334.0,0.383513,1
378.0,332.0,0.365064,1
851.0,340.0,0.371803,1
317.0,338.0,0.393143,1
964.0,342.0,0.357598,1
939.0,399.0,0.560802,1
594.0,358.0,0.484034,1
558.0,358.0,0.375666,1
844.0,364.0,0.372517,1
204.0,362.0,0.37462,1
161.0,392.0,0.508684,1
241.0,370.0,0.381217,1
199.0,377.0,0.391857,1
733.0,399.0,0.504939,1
591.0,380.0,0.446549,1
982.0,376.0,0.398277,1
375.0,393.0,0.477995,1
454.0,385.0,0.417913,1
309.0,386.0,0.400971,1
93.0,386.0,0.374895,1
122.0,387.0,0.382421,1
194.0,400.0,0.406139,1
832.0,392.0,0.35997,1
513.0,398.0,0.387901,1
188.0,460.0,0.572314,1
370.0,420.0,0.391086,1
502.0,424.0,0.453653,1
90.0,434.0,0.490727,1
825.0,450.0,0.460144,1
153.0,458.0,0.484242,1
576.0,430.0,0.356175,1
885.0,439.0,0.516419,1
668.0,436.0,0.357526,1
780.0,443.0,0.407649,1
571.0,448.0,0.386355,1
112.0,453.0,0.406524,1
543.0,456.0,0.396665,1
710.0,472.0,0.43026,1
590.0,454.0,0.355997,1
366.0,474.0,0.395476,1
650.0,478.0,0.358125,1
808.0,488.0,0.461668,1
678.0,484.0,0.374627,1
440.0,491.0,0.397614,1
643.0,510.0,0.492175,1
136.0,550.0,0.574086,1
748.0,500.0,0.358046,1
775.0,509.0,0.482838,1
794.0,533.0,0.514057,1
854.0,515.0,0.506524,1
882.0,534.0,0.452061,1
292.0,518.0,0.382488,1
176.0,533.0,0.48077,1
610.0,517.0,0.367622,1
66.0,528.0,0.415718,1
487.0,526.0,0.361082,1
688.0,529.0,0.37652,1
538.0,534.0,0.378625,1
69.0,540.0,0.374983,1
686.0,540.0,0.351064,1
626.0,550.0,0.434403,1
169.0,557.0,0.40071,1
677.0,579.0,0.63309,1
74.0,565.0,0.39033,1
761.0,571.0,0.384102,1
874.0,574.0,0.409673,1
166.0,574.0,0.354801,1
786.0,583.0,0.417188,1
528.0,585.0,0.495647,1
73.0,584.0,0.36228,1
557.0,607.0,0.495813,1
162.0,607.0,0.451494,1
838.0,610.0,0.454961,1
72.0,607.0,0.453453,1
767.0,614.0,0.445812,1
499.0,609.0,0.384583,1
282.0,612.0,0.364082,1
130.0,634.0,0.485384,1
710.0,625.0,0.589022,1
72.0,633.0,0.500506,1
282.0,620.0,0.350145,1
761.0,652.0,0.479118,1
533.0,662.0,0.559163,1
824.0,640.0,0.369945,1
147.0,685.0,0.468252,1
674.0,651.0,0.363769,1
814.0,664.0,0.455007,1
208.0,670.0,0.411004,1
271.0,672.0,0.39599,1
972.0,676.0,0.395201,1
654.0,675.0,0.36988,1
17.0,681.0,0.423945,1
230.0,684.0,0.384553,1
272.0,690.0,0.378487,1
636.0,704.0,0.487167,1
718.0,693.0,0.530928,1
484.0,698.0,0.501444,1
605.0,692.0,0.398012,1
750.0,694.0,0.386448,1
517.0,697.0,0.384429,1
67.0,699.0,0.366198,1
793.0,714.0,0.502501,1
123.0,725.0,0.397546,1
216.0,708.0,0.380893,1
483.0,719.0,0.37849,1
744.0,720.0,0.467745,1
967.0,723.0,0.426662,1
509.0,724.0,0.398811,1
65.0,736.0,0.399342,1
629.0,736.0,0.423577,1
188.0,765.0,0.472179,1
503.0,743.0,0.420489,1
987.0,745.0,0.39685,1
939.0,751.0,0.39551,1
66.0,748.0,0.353223,1
68.0,769.0,0.512942,1
499.0,767.0,0.520443,1
551.0,762.0,0.414061,1
145.0,771.0,0.364253,1
861.0,778.0,0.416319,1
581.0,781.0,0.376248,1
264.0,782.0,0.371198,1
138.0,801.0,0.499066,1
951.0,785.0,0.409533,1
733.0,811.0,0.434523,1
880.0,793.0,0.372446,1
482.0,803.0,0.430941,1
578.0,799.0,0.359398,1
863.0,812.0,0.544052,1
168.0,804.0,0.356044,1
68.0,810.0,0.373486,1
528.0,816.0,0.350941,1
17.0,821.0,0.398369,1
956.0,824.0,0.428391,1
68.0,826.0,0.363791,1
200.0,827.0,0.40632,1
150.0,839.0,0.459594,1
520.0,834.0,0.363825,1
479.0,854.0,0.390455,1
64.0,868.0,0.515552,1
626.0,861.0,0.5116,1
132.0,863.0,0.399475,1
266.0,861.0,0.383965,1
783.0,861.0,0.362681,1
322.0,864.0,0.358958,1
197.0,870.0,0.403999,1
375.0,872.0,0.433749,1
545.0,880.0,0.396595,1
140.0,893.0,0.493078,1
773.0,882.0,0.395746,1
966.0,897.0,0.431496,1
990.0,884.0,0.360413,1
101.0,895.0,0.390968,1
765.0,905.0,0.536975,1
304.0,898.0,0.352776,1
713.0,908.0,0.387111,1
1000.0,910.0,0.416103,1
48.0,916.0,0.351529,1
977.0,928.0,0.590492,1
142.0,928.0,0.485194,1
724.0,928.0,0.475843,1
642.0,932.0,0.473527,1
756.0,926.0,0.351228,1
356.0,934.0,0.360121,1
859.0,935.0,0.366624,1
808.0,942.0,0.375123,1
135.0,949.0,0.434631,1
206.0,952.0,0.357203,1
138.0,967.0,0.380479,1
923.0,969.0,0.458927,1
790.0,968.0,0.422593,1
365.0,972.0,0.41777,1
427.0,974.0,0.419158,1
137.0,986.0,0.369033,1
513.0,987.0,0.367754,1
643.0,1001.0,0.422173,1
755.0,1002.0,0.461529,1
283.0,121.0,0.690907,0
559.0,142.0,0.360557,0
389.0,911.0,0.423951,0
842.0,26.0,0.420551,1
527.0,32.0,0.366342,1
620.0,32.0,0.381547,1
776.0,56.0,0.355404,1
899.0,58.0,0.379735,1
916.0,61.0,0.360347,1
541.0,67.0,0.428446,1
414.0,71.0,0.401831,1
799.0,73.0,0.439688,1
599.0,95.0,0.49874,1
227.0,90.0,0.444956,1
16.0,98.0,0.403918,1
528.0,133.0,0.623381,1
787.0,120.0,0.475081,1
463.0,119.0,0.406927,1
619.0,145.0,0.406932,1
764.0,142.0,0.350596,1
691.0,147.0,0.393059,1
698.0,174.0,0.459396,1
94.0,175.0,0.351494,1
448.0,188.0,0.40966,1
927.0,186.0,0.367354,1
261.0,201.0,0.520576,1
63.0,197.0,0.376063,1
624.0,217.0,0.463285,1
902.0,204.0,0.372474,1
957.0,210.0,0.448165,1
554.0,212.0,0.360618,1
612.0,228.0,0.351101,1
553.0,231.0,0.39654,1
551.0,253.0,0.388804,1
580.0,259.0,0.399947,1
392.0,268.0,0.370443,1
260.0,280.0,0.371199,1
92.0,301.0,0.376733,1
71.0,329.0,0.406571,1
956.0,320.0,0.361935,1
120.0,326.0,0.355128,1
694.0,352.0,0.355678,1
16.0,396.0,0.361951,1
57.0,422.0,0.500328,1
683.0,418.0,0.35173,1
