V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,class
1.0,3.0,v5,v1,0.22,v3,0.0,1.0,v4,2.0,34231.0,v2,v1,v2,v5,0.51,788.0,31.1,v2,52.0,72.4,0.893,281.0,0.0,v1,0.0,473.0,3.0,0.936,758.0,v2,0.598,652.0,v1,5282.0,0.835,v4,v1,v1,v2,2.0,7323.0,4.0,v4,7.31,1.0,v1,v1,v5,2.0,v4,0.0,7.09,0.0,v4,v4,v3,v3,61079.0,6819.0,44.2,1.0,32.9,v3,1.0,v2,19359.0,v3,v4,5.58,2.0,7011.0,0.45,5077.0,0.0,68.0,79.6,0.0,v1,1.0,v4,3.78,v2,v1,64.1,3.65,3.0,460.0,v1,v2,1.0,v1,v1,0.0,5182.0,v2,v2,v6,v2,v2,1
0.0,0.0,v2,v1,0.41,v2,0.0,2.0,v1,0.0,71919.0,v2,v2,v1,v5,0.28,341.0,33.7,v2,50.0,69.6,0.839,268.0,4.0,v2,1.0,407.0,1.0,0.91,850.0,v1,0.604,604.0,v5,4034.0,0.524,v2,v1,v3,v2,1.0,7262.0,0.0,v1,7.43,2.0,v6,v3,v4,1.0,v3,2.0,6.72,0.0,v4,v1,v3,v2,52134.0,5932.0,45.6,1.0,29.5,v2,1.0,v1,20183.0,v5,v4,5.77,0.0,6842.0,0.43,2283.0,0.0,84.0,79.6,5.0,v2,1.0,v4,6.52,v3,v1,46.0,4.45,3.0,862.0,v3,v3,1.0,v1,v2,0.0,5051.0,v3,v2,v3,v1,v4,1
0.0,2.0,v5,v4,0.06,v1,0.0,2.0,v1,0.0,72055.0,v2,v2,v4,v5,0.3,792.0,35.4,v1,41.0,68.5,0.934,248.0,3.0,v3,1.0,353.0,2.0,0.93,879.0,v1,0.646,657.0,v2,5295.0,0.701,v2,v2,v2,v2,1.0,6401.0,2.0,v3,7.95,3.0,v1,v3,v2,1.0,v5,3.0,6.1,0.0,v5,v2,v3,v3,54390.0,5774.0,63.8,1.0,31.3,v5,1.0,v2,18405.0,v3,v2,5.58,1.0,7216.0,0.62,3124.0,2.0,91.0,83.6,2.0,v1,0.0,v3,3.44,v3,v1,64.1,3.46,0.0,401.0,v1,v1,2.0,v1,v1,0.0,5815.0,v2,v3,v3,v2,v4,0
0.0,3.0,v6,v4,0.49,v2,1.0,3.0,v2,3.0,71946.0,v2,v1,v2,v2,0.31,738.0,32.9,v1,59.0,69.3,0.84,273.0,4.0,v2,1.0,438.0,4.0,0.939,807.0,v1,0.623,648.0,v2,4061.0,0.177,v4,v3,v2,v1,1.0,6244.0,1.0,v4,7.28,3.0,v3,v3,v2,0.0,v3,1.0,5.06,1.0,v2,v5,v1,v2,66213.0,6272.0,44.3,1.0,31.5,v3,2.0,v1,18966.0,v2,v1,6.71,2.0,6733.0,0.15,2779.0,2.0,82.0,80.3,1.0,v3,1.0,v3,6.51,v3,v2,46.3,3.76,1.0,663.0,v3,v1,2.0,v2,v2,0.0,5564.0,v3,v2,v5,v1,v1,0
1.0,0.0,v4,v4,0.04,v1,0.0,2.0,v2,0.0,39969.0,v2,v2,v3,v3,0.1,843.0,35.1,v2,60.0,67.9,0.926,206.0,1.0,v3,0.0,481.0,4.0,0.941,847.0,v2,0.648,606.0,v3,5050.0,0.873,v3,v3,v5,v2,3.0,5450.0,0.0,v1,7.81,3.0,v5,v1,v3,0.0,v3,1.0,6.92,1.0,v2,v2,v3,v1,73371.0,5875.0,83.4,0.0,30.2,v3,2.0,v2,23035.0,v3,v2,6.99,3.0,6640.0,0.51,3025.0,2.0,62.0,80.0,4.0,v1,0.0,v4,6.28,v1,v1,46.2,4.55,3.0,435.0,v3,v3,0.0,v1,v1,0.0,5668.0,v1,v3,v3,v1,v5,1
1.0,1.0,v6,v3,0.31,v2,0.0,3.0,v2,3.0,37345.0,v1,v2,v2,v2,0.23,711.0,30.2,v2,50.0,72.2,0.95,286.0,4.0,v1,0.0,483.0,1.0,0.943,605.0,v1,0.448,655.0,v3,5245.0,0.471,v4,v1,v1,v2,0.0,6099.0,3.0,v1,7.78,2.0,v1,v3,v6,2.0,v1,2.0,4.81,1.0,v4,v4,v3,v1,53976.0,7033.0,15.9,0.0,50.9,v3,2.0,v1,20090.0,v2,v2,6.63,2.0,6862.0,0.58,2350.0,0.0,77.0,82.3,3.0,v2,1.0,v1,3.45,v1,v2,64.5,7.92,1.0,669.0,v1,v3,0.0,v1,v2,1.0,5208.0,v5,v1,v1,v1,v5,1
1.0,2.0,v3,v2,0.33,v1,0.0,3.0,v4,1.0,71935.0,v2,v2,v3,v2,0.15,844.0,32.8,v1,46.0,81.8,0.868,235.0,3.0,v1,1.0,339.0,3.0,0.922,704.0,v2,0.609,657.0,v2,3997.0,0.153,v3,v2,v5,v2,0.0,6228.0,2.0,v5,7.43,3.0,v1,v2,v6,1.0,v1,2.0,7.07,0.0,v1,v4,v3,v3,69763.0,5675.0,42.5,0.0,30.8,v3,0.0,v2,22788.0,v4,v3,5.58,1.0,6878.0,0.51,2372.0,0.0,71.0,79.5,0.0,v4,0.0,v3,6.11,v3,v2,51.2,5.81,1.0,512.0,v6,v2,0.0,v1,v2,1.0,5246.0,v4,v2,v3,v2,v5,0
0.0,0.0,v6,v4,0.43,v3,0.0,3.0,v4,2.0,47980.0,v1,v2,v4,v3,0.22,396.0,30.6,v2,41.0,69.9,0.951,275.0,3.0,v2,0.0,476.0,3.0,0.937,712.0,v2,0.603,602.0,v5,5120.0,0.45,v2,v4,v3,v2,3.0,6200.0,0.0,v2,7.68,0.0,v1,v3,v1,1.0,v5,3.0,6.67,0.0,v4,v2,v1,v1,42643.0,6320.0,23.4,1.0,31.3,v4,2.0,v1,18435.0,v4,v1,5.57,0.0,6289.0,0.21,5379.0,0.0,87.0,82.0,4.0,v4,0.0,v3,6.46,v1,v1,46.6,3.9,0.0,835.0,v5,v3,0.0,v1,v1,1.0,5137.0,v5,v2,v2,v1,v1,1
1.0,0.0,v1,v3,0.23,v3,0.0,1.0,v2,0.0,39515.0,v3,v2,v4,v4,0.41,801.0,33.6,v1,54.0,80.0,0.847,194.0,0.0,v1,1.0,282.0,0.0,0.941,773.0,v2,0.466,657.0,v5,3996.0,0.856,v2,v4,v4,v1,0.0,7386.0,1.0,v4,8.77,2.0,v3,v1,v6,2.0,v2,0.0,5.63,1.0,v2,v4,v1,v1,57457.0,6278.0,46.1,1.0,60.4,v3,0.0,v1,16082.0,v1,v2,6.59,0.0,7313.0,0.68,4407.0,0.0,88.0,83.5,1.0,v3,1.0,v1,6.31,v2,v2,62.5,4.47,3.0,472.0,v4,v2,2.0,v1,v1,0.0,5755.0,v5,v2,v6,v2,v3,0
0.0,4.0,v6,v1,0.04,v2,0.0,1.0,v4,2.0,59725.0,v1,v1,v2,v6,0.41,563.0,33.3,v1,29.0,69.8,0.955,255.0,1.0,v2,1.0,353.0,2.0,0.909,707.0,v1,0.591,592.0,v6,6666.0,0.169,v2,v3,v2,v1,1.0,6400.0,1.0,v5,7.75,0.0,v4,v2,v3,1.0,v2,0.0,3.84,0.0,v1,v4,v2,v2,51290.0,7084.0,46.0,0.0,53.8,v5,1.0,v1,20372.0,v2,v4,6.65,0.0,6558.0,0.44,5981.0,1.0,65.0,80.6,3.0,v1,0.0,v3,6.46,v2,v1,58.6,7.54,3.0,443.0,v2,v1,1.0,v1,v2,0.0,5841.0,v2,v2,v5,v2,v5,1
