V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,class
3.65,56147.0,50.1,2.44,34024.0,0.245,77.8,78.0,4.61,7.8,51.4,v1,0.711,33.3,5886.0,760.0,0.647,4.43,0.38,601.0,25.4,0.24,3.59,77.4,6.91,0.609,0.609,0.89,9.03,0.24,v1,55.9,0.39,65.7,58.4,0.89,52416.0,7.06,0.709,v1,1
3.68,46675.0,43.5,1.84,23934.0,0.284,78.3,78.0,4.47,6.8,52.4,v2,0.696,96.5,7182.0,744.0,0.248,6.01,0.49,600.0,26.6,0.25,4.07,86.5,7.06,0.166,0.367,0.93,9.29,0.26,v2,58.9,0.37,61.6,62.7,0.63,23358.0,6.96,0.765,v2,0
2.48,56243.0,23.8,0.62,24181.0,0.159,77.5,69.0,4.26,8.2,52.6,v1,0.669,79.6,4526.0,764.0,0.848,5.91,0.41,812.0,32.7,0.47,1.48,82.6,6.95,0.319,0.341,0.94,9.82,0.27,v1,49.6,0.42,58.0,62.2,0.88,20908.0,7.26,0.723,v1,0
1.39,50880.0,24.0,0.74,58747.0,0.167,74.6,68.0,4.68,9.4,54.9,v2,0.647,90.0,4423.0,807.0,0.776,6.1,0.37,367.0,28.6,0.21,2.91,93.6,7.0,0.844,0.624,0.5,9.74,0.46,v1,57.1,0.39,21.5,66.8,0.82,34144.0,8.13,0.703,v1,0
2.94,56222.0,49.1,1.83,78484.0,0.496,77.4,72.0,4.56,6.7,53.0,v1,0.496,87.3,6227.0,762.0,0.817,3.45,0.57,753.0,26.3,0.27,0.72,77.3,6.72,0.262,0.598,0.52,9.03,0.33,v1,53.7,0.38,20.4,72.2,0.45,63659.0,6.6,0.844,v3,1
3.43,46151.0,51.4,2.58,78026.0,0.316,75.8,78.0,4.6,4.7,50.7,v1,0.49,97.7,7393.0,784.0,0.461,4.69,0.26,821.0,34.1,0.43,2.3,98.5,6.83,0.469,0.442,0.78,9.08,0.32,v2,59.9,0.42,83.5,56.7,0.41,58700.0,6.28,0.767,v3,0
3.55,55306.0,13.8,1.98,55712.0,0.333,78.4,67.0,4.32,4.1,52.6,v1,0.659,95.5,6967.0,769.0,0.877,3.09,0.69,599.0,25.4,0.46,1.33,92.9,7.06,0.211,0.605,0.59,9.05,0.21,v1,56.0,0.62,31.0,58.0,0.61,40503.0,7.62,0.749,v1,0
3.78,46674.0,15.5,1.44,23660.0,0.369,79.2,71.0,4.41,8.3,52.4,v2,0.742,90.3,5518.0,802.0,0.691,5.9,0.63,427.0,25.3,0.17,2.83,78.8,7.15,0.583,0.397,0.75,9.04,0.6,v1,58.6,0.47,60.7,71.1,0.34,21230.0,6.99,0.726,v3,0
3.4,46412.0,39.3,2.41,28652.0,0.497,75.5,69.0,4.58,7.7,54.1,v2,0.672,90.7,6150.0,760.0,0.608,4.05,0.51,820.0,24.1,0.45,1.64,75.1,6.93,0.781,0.547,0.95,9.11,0.44,v1,61.2,0.57,72.9,60.3,0.55,54003.0,7.06,0.765,v2,0
3.67,56124.0,38.2,1.6,80914.0,0.315,83.8,84.0,4.35,7.2,50.3,v2,0.752,81.6,7302.0,761.0,0.777,5.25,0.53,725.0,24.6,0.46,1.62,84.1,6.99,0.661,0.5,0.61,9.79,0.25,v1,48.3,0.39,21.2,63.8,0.75,62221.0,6.6,0.682,v2,1
3.49,54444.0,16.8,1.62,59226.0,0.166,73.4,86.0,4.65,6.3,50.2,v1,0.719,42.6,4453.0,802.0,0.428,3.53,0.71,601.0,24.2,0.45,2.82,67.1,6.94,0.192,0.354,0.84,9.23,0.21,v1,59.9,0.45,55.2,63.4,0.64,22962.0,6.39,0.733,v1,0
1.27,54148.0,36.8,3.23,78059.0,0.163,75.1,73.0,4.41,7.0,50.2,v2,0.863,97.9,4512.0,804.0,0.645,6.19,0.57,814.0,28.3,0.26,3.91,72.9,6.99,0.431,0.611,0.64,9.83,0.32,v2,62.1,0.6,59.8,62.0,0.63,48499.0,7.47,0.832,v2,1
