V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,class
30.0,unemployed,married,primary,no,1787.0,no,no,cellular,19.0,oct,79.0,1.0,-1.0,0.0,unknown,1
33.0,services,married,secondary,no,4789.0,yes,yes,cellular,11.0,may,220.0,1.0,339.0,4.0,failure,1
35.0,management,single,tertiary,no,1350.0,yes,no,cellular,16.0,apr,185.0,1.0,330.0,1.0,failure,1
30.0,management,married,tertiary,no,1476.0,yes,yes,unknown,3.0,jun,199.0,4.0,-1.0,0.0,unknown,1
59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown,1
35.0,management,single,tertiary,no,747.0,no,no,cellular,23.0,feb,141.0,2.0,176.0,3.0,failure,1
36.0,self-employed,married,tertiary,no,307.0,yes,no,cellular,14.0,may,341.0,1.0,330.0,2.0,other,1
39.0,technician,married,secondary,no,147.0,yes,no,cellular,6.0,may,151.0,2.0,-1.0,0.0,unknown,1
41.0,entrepreneur,married,tertiary,no,221.0,yes,no,unknown,14.0,may,57.0,2.0,-1.0,0.0,unknown,1
43.0,services,married,primary,no,-88.0,yes,yes,cellular,17.0,apr,313.0,1.0,147.0,2.0,failure,1
39.0,services,married,secondary,no,9374.0,yes,no,unknown,20.0,may,273.0,1.0,-1.0,0.0,unknown,1
43.0,admin.,married,secondary,no,264.0,yes,no,cellular,17.0,apr,113.0,2.0,-1.0,0.0,unknown,1
36.0,technician,married,tertiary,no,1109.0,no,no,cellular,13.0,aug,328.0,2.0,-1.0,0.0,unknown,1
20.0,student,single,secondary,no,502.0,no,no,cellular,30.0,apr,261.0,1.0,-1.0,0.0,unknown,0
31.0,blue-collar,married,secondary,no,360.0,yes,yes,cellular,29.0,jan,89.0,1.0,241.0,1.0,failure,1
40.0,management,married,tertiary,no,194.0,no,yes,cellular,29.0,aug,189.0,2.0,-1.0,0.0,unknown,1
56.0,technician,married,secondary,no,4073.0,no,no,cellular,27.0,aug,239.0,5.0,-1.0,0.0,unknown,1
37.0,admin.,single,tertiary,no,2317.0,yes,no,cellular,20.0,apr,114.0,1.0,152.0,2.0,failure,1
25.0,blue-collar,single,primary,no,-221.0,yes,no,unknown,23.0,may,250.0,1.0,-1.0,0.0,unknown,1
31.0,services,married,secondary,no,132.0,no,no,cellular,7.0,jul,148.0,1.0,152.0,1.0,other,1
38.0,management,divorced,unknown,no,0.0,yes,no,cellular,18.0,nov,96.0,2.0,-1.0,0.0,unknown,1
42.0,management,divorced,tertiary,no,16.0,no,no,cellular,19.0,nov,140.0,3.0,-1.0,0.0,unknown,1
44.0,services,single,secondary,no,106.0,no,no,unknown,12.0,jun,109.0,2.0,-1.0,0.0,unknown,1
44.0,entrepreneur,married,secondary,no,93.0,no,no,cellular,7.0,jul,125.0,2.0,-1.0,0.0,unknown,1
26.0,housemaid,married,tertiary,no,543.0,no,no,cellular,30.0,jan,169.0,3.0,-1.0,0.0,unknown,1
41.0,management,married,tertiary,no,5883.0,no,no,cellular,20.0,nov,182.0,2.0,-1.0,0.0,unknown,1
55.0,blue-collar,married,primary,no,627.0,yes,no,unknown,5.0,may,247.0,1.0,-1.0,0.0,unknown,1
67.0,retired,married,unknown,no,696.0,no,no,telephone,17.0,aug,119.0,1.0,105.0,2.0,failure,1
56.0,self-employed,married,secondary,no,784.0,no,yes,cellular,30.0,jul,149.0,2.0,-1.0,0.0,unknown,1
53.0,admin.,married,secondary,no,105.0,no,yes,cellular,21.0,aug,74.0,2.0,-1.0,0.0,unknown,1
