buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,2,2,small,low,1
vhigh,vhigh,2,2,small,med,1
vhigh,vhigh,2,2,small,high,1
vhigh,vhigh,2,2,med,low,1
vhigh,vhigh,2,2,med,med,1
vhigh,vhigh,2,2,med,high,1
vhigh,vhigh,2,2,big,low,1
vhigh,vhigh,2,2,big,med,1
vhigh,vhigh,2,2,big,high,1
vhigh,vhigh,2,4,small,low,1
vhigh,vhigh,2,4,small,med,1
vhigh,vhigh,2,4,small,high,1
vhigh,vhigh,2,4,med,low,1
vhigh,vhigh,2,4,med,med,1
vhigh,vhigh,2,4,med,high,1
vhigh,vhigh,2,4,big,low,1
vhigh,vhigh,2,4,big,med,1
vhigh,vhigh,2,4,big,high,1
vhigh,vhigh,2,more,small,low,1
vhigh,vhigh,2,more,small,med,1
vhigh,vhigh,2,more,small,high,1
vhigh,vhigh,2,more,med,low,1
vhigh,vhigh,2,more,med,med,1
vhigh,vhigh,2,more,med,high,1
vhigh,vhigh,2,more,big,low,1
vhigh,vhigh,2,more,big,med,1
vhigh,vhigh,2,more,big,high,1
vhigh,vhigh,1,2,small,low,1
vhigh,vhigh,1,2,small,med,1
vhigh,vhigh,1,2,small,high,1
vhigh,vhigh,1,2,med,low,1
vhigh,vhigh,1,2,med,med,1
vhigh,vhigh,1,2,med,high,1
vhigh,vhigh,1,2,big,low,1
vhigh,vhigh,1,2,big,med,1
vhigh,vhigh,1,2,big,high,1
vhigh,vhigh,1,4,small,low,1
vhigh,vhigh,1,4,small,med,1
vhigh,vhigh,1,4,small,high,1
vhigh,vhigh,1,4,med,low,1
vhigh,vhigh,1,4,med,med,1
vhigh,vhigh,1,4,med,high,1
vhigh,vhigh,1,4,big,low,1
vhigh,vhigh,1,4,big,med,1
vhigh,vhigh,1,4,big,high,1
vhigh,vhigh,1,more,small,low,1
vhigh,vhigh,1,more,small,med,1
vhigh,vhigh,1,more,small,high,1
vhigh,vhigh,1,more,med,low,1
vhigh,vhigh,1,more,med,med,1
vhigh,vhigh,1,more,med,high,1
vhigh,vhigh,1,more,big,low,1
vhigh,vhigh,1,more,big,med,1
vhigh,vhigh,1,more,big,high,1
vhigh,vhigh,4,2,small,low,1
vhigh,vhigh,4,2,small,med,1
vhigh,vhigh,4,2,small,high,1
vhigh,vhigh,4,2,med,low,1
vhigh,vhigh,4,2,med,med,1
vhigh,vhigh,4,2,med,high,1
vhigh,vhigh,4,2,big,low,1
vhigh,vhigh,4,2,big,med,1
vhigh,vhigh,4,2,big,high,1
vhigh,vhigh,4,4,small,low,1
vhigh,vhigh,4,4,small,med,1
vhigh,vhigh,4,4,small,high,1
vhigh,vhigh,4,4,med,low,1
vhigh,vhigh,4,4,med,med,1
vhigh,vhigh,4,4,med,high,1
vhigh,vhigh,4,4,big,low,1
vhigh,vhigh,4,4,big,med,1
vhigh,vhigh,4,4,big,high,1
vhigh,vhigh,4,more,small,low,1
vhigh,vhigh,4,more,small,med,1
vhigh,vhigh,4,more,small,high,1
vhigh,vhigh,4,more,med,low,1
vhigh,vhigh,4,more,med,med,1
vhigh,vhigh,4,more,med,high,1
