Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working.3F,Husbands_occupation,Standard.of.living_index,Media_exposure,class
24.0,2,3,3.0,1,1,2,3,0,1
45.0,1,3,10.0,1,1,3,4,0,1
43.0,2,3,7.0,1,1,3,4,0,1
42.0,3,2,9.0,1,1,3,3,0,1
36.0,3,3,8.0,1,1,3,2,0,1
19.0,4,4,0.0,1,1,3,3,0,1
38.0,2,3,6.0,1,1,3,2,0,1
21.0,3,3,1.0,1,0,3,2,0,1
27.0,2,3,3.0,1,1,3,4,0,1
45.0,1,1,8.0,1,1,2,2,1,1
38.0,1,3,2.0,1,0,3,3,1,1
42.0,1,4,4.0,1,1,1,3,0,1
44.0,4,4,1.0,1,0,1,4,0,1
42.0,2,4,1.0,1,0,3,3,0,1
38.0,3,4,2.0,1,1,2,3,0,1
26.0,2,4,0.0,1,1,4,1,0,1
48.0,1,1,7.0,1,1,2,4,0,1
39.0,2,2,6.0,1,1,2,4,0,1
37.0,2,2,8.0,1,1,2,3,0,1
39.0,2,1,5.0,1,1,2,1,1,1
26.0,3,4,1.0,1,0,4,1,0,1
24.0,3,4,0.0,1,0,3,1,0,1
46.0,4,4,1.0,0,1,1,4,0,1
39.0,4,4,1.0,1,1,1,4,0,1
48.0,4,4,5.0,1,1,1,4,0,1
40.0,2,4,8.0,1,1,3,3,0,1
38.0,4,4,1.0,1,0,1,4,0,1
29.0,4,4,0.0,1,0,1,4,0,1
24.0,4,4,0.0,1,0,2,2,0,1
43.0,1,2,8.0,1,1,2,4,0,1
31.0,3,4,2.0,1,1,1,4,0,1
31.0,4,4,2.0,1,1,3,2,0,1
26.0,2,4,0.0,1,0,1,2,0,1
33.0,2,2,2.0,1,1,3,1,0,1
24.0,2,3,1.0,1,1,3,3,0,1
42.0,1,3,9.0,1,1,3,2,1,1
43.0,1,2,8.0,1,0,3,1,0,1
25.0,3,3,4.0,1,1,3,2,0,1
42.0,2,2,3.0,1,1,3,4,0,1
28.0,2,2,1.0,1,1,2,4,0,1
28.0,1,1,3.0,1,1,3,1,0,1
47.0,2,3,0.0,1,0,1,3,0,1
48.0,2,4,2.0,1,1,1,3,0,1
40.0,4,4,2.0,0,1,1,4,0,1
28.0,2,2,1.0,1,1,3,2,0,1
25.0,1,4,1.0,1,1,2,1,0,1
32.0,4,4,2.0,1,1,2,3,0,1
45.0,4,4,0.0,1,1,2,4,0,1
26.0,4,4,1.0,1,1,1,4,0,1
26.0,4,4,0.0,1,0,1,4,0,1
31.0,4,4,0.0,1,0,1,4,0,1
49.0,4,4,7.0,0,1,2,4,0,1
40.0,3,4,8.0,1,1,3,3,0,1
34.0,4,4,1.0,0,0,2,3,0,1
36.0,2,4,5.0,1,1,2,3,0,1
20.0,2,2,2.0,1,1,2,2,1,1
43.0,4,4,5.0,1,0,1,4,0,1
37.0,3,4,7.0,1,1,2,1,0,1
21.0,2,3,0.0,1,1,3,4,0,1
49.0,4,4,6.0,1,1,1,2,0,1
42.0,3,3,10.0,1,1,3,3,0,1
20.0,2,3,1.0,1,1,2,3,0,1
47.0,1,2,2.0,1,0,1,3,0,1
22.0,2,3,1.0,1,1,2,1,0,1
27.0,2,4,1.0,1,0,1,3,0,1
24.0,2,4,1.0,1,1,3,1,0,1
44.0,4,2,8.0,1,1,3,3,0,1
30.0,2,3,3.0,1,1,3,1,0,1
23.0,3,4,2.0,1,1,3,4,0,1
25.0,4,4,1.0,1,0,3,3,0,1
47.0,2,3,4.0,1,1,2,3,0,1
48.0,2,3,8.0,1,1,1,4,0,1
29.0,2,3,1.0,1,1,1,1,0,1
29.0,2,3,1.0,1,1,1,2,0,1
21.0,3,4,0.0,1,1,2,3,0,1
21.0,3,4,1.0,1,1,2,3,0,1
29.0,4,4,0.0,1,0,2,4,0,1
45.0,3,4,3.0,1,1,1,4,0,1
33.0,2,3,2.0,1,1,3,2,0,1
38.0,4,4,1.0,1,0,1,4,0,1
24.0,4,4,0.0,0,1,1,4,0,1
49.0,4,4,6.0,0,0,1,4,0,1
24.0,2,4,1.0,1,0,4,4,0,1
28.0,4,4,0.0,0,0,1,4,0,1
30.0,4,4,2.0,1,1,1,4,0,1
33.0,4,4,2.0,1,1,1,4,0,1
25.0,4,4,1.0,1,1,1,3,0,1
35.0,4,4,3.0,0,1,1,4,0,1
27.0,2,4,4.0,1,1,1,4,0,1
24.0,2,2,3.0,1,0,2,1,0,1
25.0,2,3,0.0,1,1,2,1,0,1
46.0,2,4,6.0,1,1,1,4,0,1
26.0,2,2,3.0,1,1,2,1,0,1
38.0,2,2,1.0,1,0,3,2,0,1
47.0,1,2,3.0,1,1,1,3,0,1
41.0,1,3,10.0,1,1,2,3,1,1
41.0,2,3,1.0,1,0,2,3,0,1
28.0,4,4,5.0,1,1,2,1,0,1
17.0,2,2,3.0,1,1,3,1,0,1
27.0,2,3,5.0,1,1,2,1,0,1
27.0,1,2,4.0,1,1,3,1,1,1
19.0,2,3,0.0,1,0,2,2,0,1
27.0,2,4,3.0,1,0,3,2,0,1
26.0,4,3,4.0,1,1,2,3,0,1
23.0,2,4,2.0,1,1,3,3,0,1
40.0,3,3,3.0,1,1,3,2,0,1
22.0,4,4,0.0,1,1,1,1,0,1
44.0,3,4,4.0,1,0,1,3,0,1
29.0,2,3,2.0,1,1,3,1,0,1
26.0,2,3,3.0,1,1,3,1,0,1
45.0,4,4,1.0,1,0,3,3,0,1
32.0,3,3,7.0,1,0,2,3,0,1
21.0,4,4,1.0,1,1,1,4,0,1
31.0,2,2,4.0,1,1,3,3,0,1
21.0,3,4,0.0,1,1,1,3,0,1
37.0,4,4,1.0,1,1,1,4,0,1
34.0,4,4,3.0,0,0,3,3,0,1
44.0,3,4,1.0,1,1,1,3,0,1
49.0,4,3,5.0,1,1,2,3,0,1
26.0,2,3,2.0,1,1,3,3,0,1
38.0,1,2,1.0,1,1,2,4,1,1
36.0,2,3,5.0,1,1,2,3,0,1
26.0,3,4,2.0,1,1,3,3,0,1
