attr1,attr2,attr3,attr4,attr5,attr6,class
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,0
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,4,1,0
1,1,1,1,4,1,0
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,3,1,1
1,1,1,3,3,1,1
1,1,1,1,3,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,0
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,3,1,1
1,1,1,3,4,1,0
1,1,1,1,3,1,1
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,3,1,1,1,1,0
1,3,1,1,4,1,0
1,3,1,1,3,1,0
1,3,1,1,4,1,0
1,3,1,3,1,1,0
1,3,1,3,3,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,4,1,0
1,3,1,1,3,1,0
1,3,1,1,4,1,0
1,3,1,3,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,4,1,0
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,3,1,1,1
1,1,1,3,3,1,1
1,1,1,3,4,1,0
1,1,1,1,1,1,1
1,1,1,1,4,1,0
1,1,1,3,1,1,1
1,1,1,1,3,1,1
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,0
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,3,1,0
1,1,1,3,3,1,0
1,1,1,3,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,1
1,1,1,1,3,1,1
1,1,1,3,4,1,0
1,3,1,1,3,1,1
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,3,1,0
1,3,1,3,3,1,0
1,3,1,1,1,1,0
1,3,1,1,1,1,0
1,3,1,1,4,1,0
1,3,1,1,3,1,0
1,3,1,1,4,1,0
1,3,1,3,1,1,0
1,3,1,3,1,1,0
1,3,1,3,4,1,0
3,1,1,1,1,1,1
3,1,1,1,1,1,1
3,1,1,1,3,1,1
3,1,1,1,4,1,0
3,1,1,3,1,1,1
3,1,1,3,4,1,0
3,1,1,1,1,1,1
3,1,1,1,3,1,1
3,1,1,1,4,1,0
3,1,1,3,1,1,1
3,1,1,1,1,1,1
3,1,1,1,4,1,0
3,1,1,1,3,1,1
3,1,1,3,1,1,1
3,1,1,1,1,1,1
3,1,1,1,3,1,1
3,1,1,1,1,1,1
3,1,1,3,1,1,1
3,1,1,3,3,1,1
3,1,1,3,4,1,0
3,3,1,1,3,1,1
3,3,1,1,4,1,1
3,3,1,1,4,1,0
3,3,1,3,1,1,0
3,3,1,3,1,1,0
3,3,1,3,1,1,0
3,3,1,3,4,1,0
3,3,1,1,1,1,0
3,3,1,1,1,1,0
3,3,1,1,1,1,0
3,3,1,1,3,1,0
3,3,1,3,1,1,0
3,3,1,3,3,1,0
3,3,1,3,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,1
1,1,1,1,3,1,1
1,1,1,1,4,1,0
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,1
1,1,1,1,3,1,1
1,1,1,1,4,1,0
1,1,1,1,4,1,0
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,1,1,1
1,1,1,3,3,1,1
1,1,1,3,3,1,1
1,1,1,3,4,1,0
1,1,1,3,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,3,1,1
1,1,1,1,3,1,1
1,1,1,1,4,1,0
1,1,1,1,4,1,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
