year_zone,year,strip,pdk,damage_rankRJT,damage_rankALL,dry_or_irr,zone,class
6f,86,3.0,1.0,1,0,D,F,1
6f,86,3.0,2.0,0,0,D,F,0
6f,86,3.0,3.0,1,1,D,F,0
6f,86,3.0,4.0,1,0,D,F,0
6f,86,3.0,5.0,0,0,D,F,1
6f,86,4.0,1.0,0,1,D,F,1
6f,86,4.0,2.0,2,2,D,F,0
6f,86,4.0,3.0,1,0,D,F,1
6m,86,6.0,1.0,2,0,D,M,0
6m,86,6.0,2.0,1,1,D,M,0
6m,86,6.0,3.0,1,1,D,M,1
6c,86,10.0,1.0,1,1,D,C,0
6c,86,10.0,2.0,1,4,O,C,0
6c,86,10.0,3.0,1,1,D,C,0
6c,86,10.0,4.0,1,2,D,C,0
6c,86,10.0,5.0,1,1,D,C,0
7f,87,1.0,2.0,2,1,D,F,0
7f,87,1.0,3.0,1,1,D,F,0
7f,87,2.0,1.0,2,1,D,F,0
7f,87,3.0,1.0,0,1,D,F,1
7f,87,3.0,2.0,1,0,D,F,1
7f,87,3.0,3.0,0,0,D,F,1
7f,87,3.0,4.0,2,1,D,F,1
7f,87,3.0,5.0,0,1,D,F,1
7m,87,5.0,1.0,2,1,B,M,1
7m,87,5.0,2.0,1,2,D,M,0
7m,87,5.0,3.0,0,0,D,M,1
7m,87,5.0,4.0,1,1,D,M,1
7m,87,6.0,2.0,2,1,D,M,1
7m,87,6.0,4.0,1,1,D,M,0
7c,87,10.0,1.0,1,2,D,C,0
7c,87,10.0,2.0,1,2,D,C,0
7c,87,10.0,3.0,2,2,D,C,0
7c,87,10.0,4.0,1,1,O,C,0
7c,87,10.0,5.0,2,1,D,C,0
8f,88,1.0,0.0,5,1,D,F,0
8f,88,1.0,1.0,0,0,D,F,1
8f,88,1.0,2.0,1,1,D,F,0
8f,88,1.0,4.0,2,1,D,F,0
8f,88,3.0,1.0,1,1,D,F,1
8f,88,3.0,2.0,2,2,D,F,0
8f,88,3.0,3.0,1,0,D,F,1
8m,88,6.0,3.0,1,1,D,M,1
8m,88,6.0,4.0,0,0,D,M,1
8m,88,7.0,1.0,0,1,B,M,1
8m,88,7.0,2.0,0,0,B,M,0
8m,88,7.0,3.0,1,2,B,M,1
8c,88,9.0,1.0,2,2,D,C,0
8c,88,9.0,2.0,1,1,D,C,0
8c,88,9.0,3.0,2,0,D,C,0
8c,88,10.0,1.0,1,1,O,C,0
8c,88,10.0,2.0,5,2,D,C,0
8c,88,10.0,4.0,4,1,D,C,0
9f,89,1.0,1.0,4,4,D,F,0
9f,89,1.0,2.0,5,5,D,F,0
9f,89,1.0,3.0,0,0,D,F,1
9f,89,1.0,4.0,2,4,D,F,0
9f,89,2.0,1.0,4,1,D,F,0
9f,89,2.0,2.0,2,1,D,F,0
9f,89,2.0,3.0,1,4,D,F,0
9f,89,3.0,1.0,1,1,D,F,0
9f,89,3.0,2.0,1,2,D,F,0
9f,89,3.0,3.0,4,4,D,F,0
9f,89,4.0,1.0,4,2,D,F,0
9f,89,4.0,2.0,1,4,D,F,0
9m,89,5.0,1.0,0,0,B,M,1
9m,89,5.0,2.0,1,4,D,M,0
9m,89,6.0,1.0,2,2,D,M,1
9m,89,6.0,2.0,4,4,D,M,1
9m,89,6.0,3.0,5,4,D,M,0
9m,89,7.0,1.0,0,2,B,M,0
9m,89,7.0,2.0,1,0,B,M,1
9c,89,9.0,1.0,1,2,D,C,1
9c,89,9.0,2.0,1,1,D,C,1
9c,89,9.0,3.0,2,1,D,C,0
9c,89,10.0,1.0,2,4,O,C,0
9c,89,10.0,2.0,2,1,D,C,1
9c,89,10.0,3.0,1,1,O,C,0
0f,90,1.0,1.0,5,5,D,F,0
0f,90,1.0,2.0,1,1,D,F,0
0f,90,1.0,3.0,1,1,D,F,0
0f,90,2.0,1.0,1,1,D,F,0
0f,90,2.0,2.0,2,2,D,F,0
0f,90,2.0,3.0,0,0,D,F,1
0f,90,3.0,1.0,1,1,O,F,0
0f,90,3.0,2.0,2,1,D,F,0
0f,90,3.0,3.0,4,4,D,F,0
0f,90,4.0,1.0,5,4,D,F,0
0f,90,4.0,2.0,1,1,D,F,0
0f,90,4.0,3.0,1,4,D,F,0
0m,90,5.0,1.0,0,0,B,M,1
0m,90,5.0,2.0,5,5,D,M,0
0m,90,5.0,3.0,1,1,B,M,0
0m,90,6.0,1.0,1,1,D,M,1
0m,90,6.0,2.0,2,1,D,M,1
0m,90,6.0,3.0,4,4,D,M,0
0m,90,7.0,1.0,0,0,B,M,1
0m,90,7.0,2.0,4,1,D,M,0
0c,90,9.0,1.0,4,2,D,C,0
0c,90,9.0,2.0,2,2,D,C,0
0c,90,9.0,3.0,4,4,D,C,0
0c,90,10.0,1.0,1,1,O,C,0
0c,90,10.0,2.0,4,4,D,C,0
0c,90,10.0,3.0,5,5,O,C,0
1f,91,1.0,1.0,1,1,D,F,0
1f,91,1.0,2.0,2,2,D,F,0
1f,91,1.0,3.0,5,4,D,F,0
1f,91,2.0,1.0,1,1,D,F,0
1f,91,2.0,2.0,1,1,D,F,0
1f,91,2.0,3.0,2,1,D,F,1
1f,91,3.0,1.0,2,2,D,F,0
1f,91,3.0,2.0,0,0,D,F,0
1f,91,4.0,1.0,1,2,D,F,1
1f,91,4.0,2.0,1,2,D,F,0
1f,91,4.0,3.0,1,1,D,F,1
1m,91,5.0,1.0,0,1,B,M,1
1m,91,5.0,2.0,2,2,B,M,1
1m,91,5.0,3.0,2,2,B,M,1
1m,91,6.0,1.0,5,5,D,M,0
1m,91,6.0,2.0,2,1,B,M,1
1m,91,6.0,3.0,1,2,D,M,1
1m,91,7.0,1.0,0,0,B,M,1
1m,91,7.0,2.0,1,0,D,M,0
1c,91,9.0,1.0,1,2,D,C,0
1c,91,9.0,2.0,1,1,D,C,1
1c,91,9.0,3.0,1,2,B,C,0
1c,91,10.0,1.0,5,4,D,C,0
1c,91,10.0,2.0,1,1,O,C,0
1c,91,10.0,3.0,2,1,O,C,0
2f,92,1.0,1.0,1,1,D,F,0
2f,92,1.0,2.0,0,0,D,F,0
2f,92,1.0,3.0,1,1,D,F,1
2f,92,1.0,4.0,1,1,D,F,0
2f,92,2.0,1.0,1,1,D,F,0
2f,92,2.0,2.0,2,2,D,F,1
2f,92,2.0,3.0,4,4,D,F,0
2f,92,3.0,1.0,1,1,D,F,0
2f,92,3.0,2.0,2,2,D,F,0
2f,92,3.0,3.0,1,1,O,F,0
2f,92,4.0,1.0,1,1,D,F,0
2f,92,4.0,2.0,4,4,D,F,0
2f,92,4.0,3.0,1,1,D,F,1
2m,92,6.0,1.0,0,0,B,M,1
2m,92,6.0,2.0,2,2,D,M,1
2m,92,6.0,3.0,4,4,D,M,0
2m,92,7.0,1.0,2,1,B,M,0
2m,92,7.0,2.0,5,4,D,M,0
2m,92,7.0,3.0,1,1,D,M,0
2c,92,9.0,1.0,1,2,D,C,0
2c,92,9.0,2.0,4,4,D,C,0
2c,92,9.0,4.0,1,1,B,C,0
2c,92,10.0,1.0,1,1,O,C,0
2c,92,10.0,2.0,1,1,D,C,0
2c,92,10.0,3.0,2,2,O,C,0
2c,92,10.0,4.0,1,1,D,C,0
