Age,Time_of_survey,Schooling,Region,Count,class
19-29,1991,Basic_incomplete,West_Germany,1.0,0
19-29,1991,Basic,West_Germany,5.0,0
19-29,1991,Medium,West_Germany,10.0,0
19-29,1991,Upper_medium,West_Germany,3.0,0
19-29,1991,Intensive,West_Germany,8.0,0
19-29,1991,Basic_incomplete,East_Germany,0.0,0
19-29,1991,Basic,East_Germany,0.0,0
19-29,1991,Medium,East_Germany,2.0,0
19-29,1991,Upper_medium,East_Germany,0.0,0
19-29,1991,Intensive,East_Germany,2.0,0
19-29,1991,Basic_incomplete,West_Germany,3.0,1
19-29,1991,Basic,West_Germany,63.0,1
19-29,1991,Medium,West_Germany,88.0,1
19-29,1991,Upper_medium,West_Germany,22.0,1
19-29,1991,Intensive,West_Germany,78.0,1
19-29,1991,Basic_incomplete,East_Germany,2.0,1
19-29,1991,Basic,East_Germany,13.0,1
19-29,1991,Medium,East_Germany,103.0,1
19-29,1991,Upper_medium,East_Germany,6.0,1
19-29,1991,Intensive,East_Germany,29.0,1
19-29,1991,Basic_incomplete,West_Germany,1.0,0
19-29,1991,Basic,West_Germany,25.0,0
19-29,1991,Medium,West_Germany,18.0,0
19-29,1991,Upper_medium,West_Germany,5.0,0
19-29,1991,Intensive,West_Germany,9.0,0
19-29,1991,Basic_incomplete,East_Germany,1.0,0
19-29,1991,Basic,East_Germany,5.0,0
19-29,1991,Medium,East_Germany,53.0,0
19-29,1991,Upper_medium,East_Germany,1.0,0
19-29,1991,Intensive,East_Germany,12.0,0
19-29,1991,Basic_incomplete,West_Germany,2.0,0
19-29,1991,Basic,West_Germany,2.0,0
19-29,1991,Medium,West_Germany,0.0,0
19-29,1991,Upper_medium,West_Germany,0.0,0
19-29,1991,Intensive,West_Germany,1.0,0
19-29,1991,Basic_incomplete,East_Germany,0.0,0
19-29,1991,Basic,East_Germany,0.0,0
19-29,1991,Medium,East_Germany,4.0,0
19-29,1991,Upper_medium,East_Germany,0.0,0
19-29,1991,Intensive,East_Germany,3.0,0
30-44,1991,Basic_incomplete,West_Germany,0.0,0
30-44,1991,Basic,West_Germany,24.0,0
30-44,1991,Medium,West_Germany,17.0,0
30-44,1991,Upper_medium,West_Germany,3.0,0
30-44,1991,Intensive,West_Germany,11.0,0
30-44,1991,Basic_incomplete,East_Germany,0.0,0
30-44,1991,Basic,East_Germany,3.0,0
30-44,1991,Medium,East_Germany,7.0,0
30-44,1991,Upper_medium,East_Germany,0.0,0
30-44,1991,Intensive,East_Germany,1.0,0
30-44,1991,Basic_incomplete,West_Germany,1.0,1
30-44,1991,Basic,West_Germany,135.0,1
30-44,1991,Medium,West_Germany,89.0,1
30-44,1991,Upper_medium,West_Germany,26.0,1
30-44,1991,Intensive,West_Germany,68.0,1
30-44,1991,Basic_incomplete,East_Germany,3.0,1
30-44,1991,Basic,East_Germany,39.0,1
30-44,1991,Medium,East_Germany,198.0,1
30-44,1991,Upper_medium,East_Germany,7.0,1
30-44,1991,Intensive,East_Germany,52.0,1
30-44,1991,Basic_incomplete,West_Germany,1.0,0
30-44,1991,Basic,West_Germany,34.0,0
30-44,1991,Medium,West_Germany,14.0,0
30-44,1991,Upper_medium,West_Germany,1.0,0
30-44,1991,Intensive,West_Germany,10.0,0
30-44,1991,Basic_incomplete,East_Germany,4.0,0
30-44,1991,Basic,East_Germany,27.0,0
30-44,1991,Medium,East_Germany,86.0,0
30-44,1991,Upper_medium,East_Germany,7.0,0
30-44,1991,Intensive,East_Germany,17.0,0
30-44,1991,Basic_incomplete,West_Germany,0.0,0
30-44,1991,Basic,West_Germany,2.0,0
30-44,1991,Medium,West_Germany,1.0,0
30-44,1991,Upper_medium,West_Germany,0.0,0
30-44,1991,Intensive,West_Germany,1.0,0
30-44,1991,Basic_incomplete,East_Germany,1.0,0
30-44,1991,Basic,East_Germany,7.0,0
30-44,1991,Medium,East_Germany,9.0,0
30-44,1991,Upper_medium,East_Germany,0.0,0
30-44,1991,Intensive,East_Germany,1.0,0
45-59,1991,Basic_incomplete,West_Germany,0.0,0
45-59,1991,Basic,West_Germany,26.0,0
45-59,1991,Medium,West_Germany,4.0,0
45-59,1991,Upper_medium,West_Germany,2.0,0
45-59,1991,Intensive,West_Germany,5.0,0
45-59,1991,Basic_incomplete,East_Germany,0.0,0
45-59,1991,Basic,East_Germany,4.0,0
45-59,1991,Medium,East_Germany,0.0,0
45-59,1991,Upper_medium,East_Germany,0.0,0
45-59,1991,Intensive,East_Germany,2.0,0
45-59,1991,Basic_incomplete,West_Germany,2.0,1
45-59,1991,Basic,West_Germany,120.0,1
45-59,1991,Medium,West_Germany,62.0,1
45-59,1991,Upper_medium,West_Germany,17.0,1
45-59,1991,Intensive,West_Germany,29.0,1
45-59,1991,Basic_incomplete,East_Germany,14.0,1
45-59,1991,Basic,East_Germany,134.0,1
45-59,1991,Medium,East_Germany,50.0,1
45-59,1991,Upper_medium,East_Germany,5.0,1
45-59,1991,Intensive,East_Germany,32.0,1
45-59,1991,Basic_incomplete,West_Germany,1.0,0
45-59,1991,Basic,West_Germany,27.0,0
45-59,1991,Medium,West_Germany,10.0,0
45-59,1991,Upper_medium,West_Germany,2.0,0
45-59,1991,Intensive,West_Germany,3.0,0
45-59,1991,Basic_incomplete,East_Germany,13.0,0
45-59,1991,Basic,East_Germany,61.0,0
45-59,1991,Medium,East_Germany,18.0,0
45-59,1991,Upper_medium,East_Germany,3.0,0
