col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,class
33.0,33.0,262.0,307.0,1.1718,5.5683,5.7268,0.1585,0
34.0,34.0,259.0,306.0,1.1815,5.5568,5.7236,0.1668,0
35.0,35.0,257.0,306.0,1.1907,5.5491,5.7236,0.1745,0
36.0,36.0,262.0,306.0,1.1679,5.5683,5.7236,0.1553,0
37.0,37.0,264.0,306.0,1.1591,5.5759,5.7236,0.1477,0
38.0,38.0,268.0,313.0,1.1679,5.591,5.7462,0.1552,0
39.0,39.0,276.0,319.0,1.1558,5.6204,5.7652,0.1448,0
40.0,40.0,283.0,324.0,1.1449,5.6454,5.7807,0.1353,0
41.0,41.0,290.0,332.0,1.1448,5.6699,5.8051,0.1352,0
42.0,42.0,286.0,320.0,1.1189,5.656,5.7683,0.1123,0
43.0,43.0,288.0,320.0,1.1111,5.663,5.7683,0.1053,0
44.0,44.0,286.0,314.0,1.0979,5.656,5.7494,0.0934,0
45.0,45.0,279.0,306.0,1.0968,5.6312,5.7236,0.0924,0
46.0,46.0,279.0,307.0,1.1004,5.6312,5.7268,0.0956,0
47.0,47.0,280.0,308.0,1.1,5.6348,5.7301,0.0953,0
48.0,48.0,321.0,358.0,1.1153,5.7714,5.8805,0.1091,0
49.0,49.0,328.0,358.0,1.0915,5.793,5.8805,0.0875,0
50.0,50.0,334.0,360.0,1.0778,5.8111,5.8861,0.075,0
2.0,54.0,332.0,360.0,1.0843,5.8051,5.8861,0.081,1
3.0,55.0,332.0,362.0,1.0904,5.8051,5.8916,0.0865,1
4.0,56.0,326.0,361.0,1.1074,5.7869,5.8889,0.102,1
5.0,57.0,322.0,359.0,1.1149,5.7746,5.8833,0.1087,1
6.0,58.0,324.0,359.0,1.108,5.7807,5.8833,0.1026,1
7.0,59.0,322.0,359.0,1.1149,5.7746,5.8833,0.1087,1
8.0,60.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
9.0,61.0,314.0,357.0,1.1369,5.7494,5.8777,0.1283,1
10.0,62.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
11.0,63.0,316.0,357.0,1.1297,5.7557,5.8777,0.122,1
12.0,64.0,315.0,357.0,1.1333,5.7526,5.8777,0.1251,1
13.0,65.0,314.0,356.0,1.1338,5.7494,5.8749,0.1255,1
16.0,68.0,313.0,354.0,1.131,5.7462,5.8693,0.1231,1
17.0,69.0,312.0,354.0,1.1346,5.743,5.8693,0.1263,1
18.0,70.0,307.0,354.0,1.1531,5.7268,5.8693,0.1425,1
19.0,71.0,305.0,354.0,1.1607,5.7203,5.8693,0.149,1
20.0,72.0,305.0,354.0,1.1607,5.7203,5.8693,0.149,1
21.0,73.0,299.0,354.0,1.1839,5.7004,5.8693,0.1689,1
22.0,74.0,297.0,354.0,1.1919,5.6937,5.8693,0.1756,1
23.0,75.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
24.0,76.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
25.0,77.0,302.0,354.0,1.1722,5.7104,5.8693,0.1589,1
26.0,78.0,300.0,354.0,1.18,5.7038,5.8693,0.1655,1
33.0,85.0,293.0,349.0,1.1911,5.6802,5.8551,0.1749,1
34.0,86.0,293.0,349.0,1.1911,5.6802,5.8551,0.1749,1
35.0,87.0,293.0,347.0,1.1843,5.6802,5.8493,0.1691,1
36.0,88.0,296.0,347.0,1.1723,5.6904,5.8493,0.1589,1
37.0,89.0,295.0,347.0,1.1763,5.687,5.8493,0.1623,1
38.0,90.0,297.0,347.0,1.1684,5.6937,5.8493,0.1556,1
39.0,91.0,298.0,347.0,1.1644,5.6971,5.8493,0.1522,1
40.0,92.0,299.0,346.0,1.1572,5.7004,5.8464,0.146,1
41.0,93.0,301.0,347.0,1.1528,5.7071,5.8493,0.1422,1
42.0,94.0,305.0,348.0,1.141,5.7203,5.8522,0.1319,1
43.0,95.0,307.0,348.0,1.1336,5.7268,5.8522,0.1254,1
44.0,96.0,306.0,346.0,1.1307,5.7236,5.8464,0.1228,1
45.0,97.0,303.0,345.0,1.1386,5.7137,5.8435,0.1298,1
46.0,98.0,304.0,345.0,1.1349,5.717,5.8435,0.1265,1
47.0,99.0,303.0,345.0,1.1386,5.7137,5.8435,0.1298,1
48.0,100.0,300.0,345.0,1.15,5.7038,5.8435,0.1397,1
49.0,101.0,299.0,345.0,1.1538,5.7004,5.8435,0.1431,1
50.0,102.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,1
2.0,106.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,0
3.0,107.0,297.0,345.0,1.1616,5.6937,5.8435,0.1498,0
4.0,108.0,298.0,345.0,1.1577,5.6971,5.8435,0.1464,0
5.0,109.0,299.0,345.0,1.1538,5.7004,5.8435,0.1431,0
6.0,110.0,303.0,347.0,1.1452,5.7137,5.8493,0.1356,0
7.0,111.0,304.0,348.0,1.1447,5.717,5.8522,0.1352,0
8.0,112.0,304.0,349.0,1.148,5.717,5.8551,0.1381,0
9.0,113.0,306.0,350.0,1.1438,5.7236,5.8579,0.1343,0
10.0,114.0,307.0,348.0,1.1336,5.7268,5.8522,0.1254,0
11.0,115.0,304.0,347.0,1.1414,5.717,5.8493,0.1323,0
15.0,119.0,305.0,350.0,1.1475,5.7203,5.8579,0.1376,0
